set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of
PRB-01,One Piece Card The Best,PRB01-001,Sanji,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB01/PRB01-001_EN.webp,0.81,2026-09-05
PRB-01,One Piece Card The Best,PRB01-001p1,Sanji,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/PRB01/PRB01-001_p1_EN.webp,108.51,2026-09-05
PRB-01,One Piece Card The Best,EB01-006p2,Tony Tony.Chopper,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-006_p2_EN.webp,3492.00,2026-09-05
PRB-01,One Piece Card The Best,OP01-006,Otama,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-006_EN.webp,0.31,2026-09-05
PRB-01,One Piece Card The Best,OP01-006p3,Otama,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-006_p3_EN.webp,0.48,2026-09-05
PRB-01,One Piece Card The Best,OP01-006p4,Otama,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-006_p4_EN.webp,6.86,2026-09-05
PRB-01,One Piece Card The Best,OP01-006p5,Otama,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-006_p5_EN.webp,7.92,2026-09-05
PRB-01,One Piece Card The Best,OP01-016p7,Nami,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-016_p7_EN.webp,2017.24,2026-09-05
PRB-01,One Piece Card The Best,OP01-024,Monkey.D.Luffy,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-024_EN.webp,2.23,2026-09-05
PRB-01,One Piece Card The Best,OP01-024p2,Monkey.D.Luffy,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-024_p2_EN.webp,73.23,2026-09-05
PRB-01,One Piece Card The Best,OP01-029,Radical Beam!!,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-029_EN.webp,0.25,2026-09-05
PRB-01,One Piece Card The Best,OP01-029p1,Radical Beam!!,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-029_p1_EN.webp,0.42,2026-09-05
PRB-01,One Piece Card The Best,OP01-029p2,Radical Beam!!,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-029_p2_EN.webp,2.15,2026-09-05
PRB-01,One Piece Card The Best,OP01-033,Izo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-033_EN.webp,0.22,2026-09-05
PRB-01,One Piece Card The Best,OP01-033p4,Izo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-033_p4_EN.webp,0.36,2026-09-05
PRB-01,One Piece Card The Best,OP01-033p5,Izo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-033_p5_EN.webp,1.96,2026-09-05
PRB-01,One Piece Card The Best,OP01-033p6,Izo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-033_p6_EN.webp,5.06,2026-09-05
PRB-01,One Piece Card The Best,OP01-041,Kouzuki Momonosuke,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-041_EN.webp,0.17,2026-09-05
PRB-01,One Piece Card The Best,OP01-041p4,Kouzuki Momonosuke,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-041_p4_EN.webp,0.25,2026-09-05
PRB-01,One Piece Card The Best,OP01-041p5,Kouzuki Momonosuke,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-041_p5_EN.webp,1.05,2026-09-05
PRB-01,One Piece Card The Best,OP01-041p6,Kouzuki Momonosuke,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-041_p6_EN.webp,5.37,2026-09-05
PRB-01,One Piece Card The Best,OP01-047,Trafalgar Law,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-047_EN.webp,0.54,2026-09-05
PRB-01,One Piece Card The Best,OP01-047p3,Trafalgar Law,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-047_p3_EN.webp,20.49,2026-09-05
PRB-01,One Piece Card The Best,OP01-051,"Eustass""Captain""Kid",SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-051_EN.webp,0.58,2026-09-05
PRB-01,One Piece Card The Best,OP01-051p3,"Eustass""Captain""Kid",SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-051_p3_EN.webp,6.66,2026-09-05
PRB-01,One Piece Card The Best,OP01-052,Raizo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-052_EN.webp,0.11,2026-09-05
PRB-01,One Piece Card The Best,OP01-052p3,Raizo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-052_p3_EN.webp,0.19,2026-09-05
PRB-01,One Piece Card The Best,OP01-052p4,Raizo,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-052_p4_EN.webp,1.56,2026-09-05
PRB-01,One Piece Card The Best,OP01-070,Dracule Mihawk,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-070_EN.webp,1.17,2026-09-05
PRB-01,One Piece Card The Best,OP01-070p3,Dracule Mihawk,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-070_p3_EN.webp,13.86,2026-09-05
PRB-01,One Piece Card The Best,OP01-078,Boa Hancock,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-078_EN.webp,1.50,2026-09-05
PRB-01,One Piece Card The Best,OP01-078p3,Boa Hancock,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-078_p3_EN.webp,57.66,2026-09-05
PRB-01,One Piece Card The Best,OP01-120,Shanks,SEC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-120_EN.webp,7.86,2026-09-05
PRB-01,One Piece Card The Best,OP01-120p2,Shanks,SEC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-120_p2_EN.webp,3999.47,2026-09-05
PRB-01,One Piece Card The Best,OP01-120p4,Shanks,SEC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP01/OP01-120_p4_EN.webp,29.16,2026-09-05
