set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of
EB-01,Memorial Collection,EB01-001,Kouzuki Oden,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-001_EN.webp,0.31,2026-09-05
EB-01,Memorial Collection,EB01-001p1,Kouzuki Oden,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-001_p1_EN.webp,62.95,2026-09-05
EB-01,Memorial Collection,EB01-002,Izo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-002_EN.webp,2.72,2026-09-05
EB-01,Memorial Collection,EB01-003,Kid & Killer,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-003_EN.webp,1.92,2026-09-05
EB-01,Memorial Collection,EB01-003p1,Kid & Killer,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-003_p1_EN.webp,10.36,2026-09-05
EB-01,Memorial Collection,EB01-004,Koza,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-004_EN.webp,0.08,2026-09-05
EB-01,Memorial Collection,EB01-005,Doma,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-005_EN.webp,0.07,2026-09-05
EB-01,Memorial Collection,EB01-006,Tony Tony.Chopper,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-006_EN.webp,23.65,2026-09-05
EB-01,Memorial Collection,EB01-006p1,Tony Tony.Chopper,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-006_p1_EN.webp,150.66,2026-09-05
EB-01,Memorial Collection,EB01-006p2,Tony Tony.Chopper,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-006_p2_EN.webp,3492.00,2026-09-05
EB-01,Memorial Collection,EB01-007,Yamato,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-007_EN.webp,0.19,2026-09-05
EB-01,Memorial Collection,EB01-008,LittleOars Jr.,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-008_EN.webp,0.19,2026-09-05
EB-01,Memorial Collection,EB01-009,Just Shut Up and Come with Us!!!!,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-009_EN.webp,0.14,2026-09-05
EB-01,Memorial Collection,EB01-010,There's No Way You Could Defeat Me!!,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-010_EN.webp,0.25,2026-09-05
EB-01,Memorial Collection,EB01-011,Mini-Merry,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-011_EN.webp,0.11,2026-09-05
EB-01,Memorial Collection,EB01-012,Cavendish,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-012_EN.webp,3.85,2026-09-05
EB-01,Memorial Collection,EB01-012p1,Cavendish,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-012_p1_EN.webp,19.76,2026-09-05
EB-01,Memorial Collection,EB01-013,Kouzuki Hiyori,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-013_EN.webp,3.82,2026-09-05
EB-01,Memorial Collection,EB01-013p1,Kouzuki Hiyori,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-013_p1_EN.webp,30.88,2026-09-05
EB-01,Memorial Collection,EB01-014,Sanji,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-014_EN.webp,0.87,2026-09-05
EB-01,Memorial Collection,EB01-015,Scratchmen Apoo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-015_EN.webp,0.68,2026-09-05
EB-01,Memorial Collection,EB01-016,Bingoh,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-016_EN.webp,0.06,2026-09-05
EB-01,Memorial Collection,EB01-017,Blueno,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-017_EN.webp,0.07,2026-09-05
EB-01,Memorial Collection,EB01-018,Mountain God,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-018_EN.webp,0.09,2026-09-05
EB-01,Memorial Collection,EB01-019,Off-White,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/EB01/EB01-019_EN.webp,0.33,2026-09-05
