set_code,set_name,card_number,name,rarity,language,image_url,market_usd,as_of
OP-10,Royal Blood,OP10-001,Smoker,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-001_EN.webp,0.18,2026-09-05
OP-10,Royal Blood,OP10-001p1,Smoker,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-001_p1_EN.webp,15.46,2026-09-05
OP-10,Royal Blood,OP10-002,Caesar Clown,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-002_EN.webp,0.13,2026-09-05
OP-10,Royal Blood,OP10-002p1,Caesar Clown,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-002_p1_EN.webp,10.70,2026-09-05
OP-10,Royal Blood,OP10-003,Sugar,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-003_EN.webp,0.13,2026-09-05
OP-10,Royal Blood,OP10-003p1,Sugar,L,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-003_p1_EN.webp,14.38,2026-09-05
OP-10,Royal Blood,OP10-004,Vergo,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-004_EN.webp,0.13,2026-09-05
OP-10,Royal Blood,OP10-005,Sanji,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-005_EN.webp,9.95,2026-09-05
OP-10,Royal Blood,OP10-005p1,Sanji,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-005_p1_EN.webp,23.17,2026-09-05
OP-10,Royal Blood,OP10-006,Caesar Clown,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-006_EN.webp,0.06,2026-09-05
OP-10,Royal Blood,OP10-007,Ceaser Soldier,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-007_EN.webp,0.07,2026-09-05
OP-10,Royal Blood,OP10-008,Scotch,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-008_EN.webp,0.04,2026-09-05
OP-10,Royal Blood,OP10-009,Smiley,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-009_EN.webp,0.10,2026-09-05
OP-10,Royal Blood,OP10-010,Chadros.Higelyges (Brownbeard),C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-010_EN.webp,0.03,2026-09-05
OP-10,Royal Blood,OP10-011,Tony Tony.Chopper,R,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-011_EN.webp,0.60,2026-09-05
OP-10,Royal Blood,OP10-012,Dragon Number Thirteen,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-012_EN.webp,0.05,2026-09-05
OP-10,Royal Blood,OP10-013,Nami,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-013_EN.webp,0.09,2026-09-05
OP-10,Royal Blood,OP10-014,Franky,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-014_EN.webp,0.12,2026-09-05
OP-10,Royal Blood,OP10-015,Mocha,UC,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-015_EN.webp,0.10,2026-09-05
OP-10,Royal Blood,OP10-016,Monet,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-016_EN.webp,0.36,2026-09-05
OP-10,Royal Blood,OP10-016p1,Monet,SR,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-016_p1_EN.webp,4.39,2026-09-05
OP-10,Royal Blood,OP10-017,Rock,C,EN,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/one-piece/OP10/OP10-017_EN.webp,0.05,2026-09-05
