card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
EB02-001,,Character,Red,5,,7000,1000,Strike,Animal/Alabasta,,,Fuyuko Iwata,3,legal,legal
EB02-002,,Character,Red,4,,5000,2000,Special,Dressrosa/Revolutionary Army,[Activate: Main] You may rest this Character: Up to 1 of your {Revolutionary Army} type Characters other than [Sabo] gains +2000 power during this turn.,,He Ziwei,3,legal,legal
EB02-003,,Character,Red,3,,3000,1000,Strike,Animal/Drum Kingdom/Straw Hat Crew,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power. [On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,Ou Jyunce,3,legal,legal
EB02-003p1,Alternate Art,Character,Red,3,,3000,1000,Strike,Animal/Drum Kingdom/Straw Hat Crew,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power. [On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,,3,legal,legal
EB02-004,,Character,Red,8,,10000,1000,Special,Accino Family,,,,3,legal,legal
EB02-005,,Character,Red,2,,3000,,Ranged,Fake Straw Hat Crew,[Your Turn] This Character gains +2000 power. [Opponent's Turn] Give this Character −2000 power.,,,3,legal,legal
EB02-006,,Character,Red,6,,7000,,Strike,Land of Wano,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",,Itsuki Tsuchigami,3,legal,legal
EB02-006p1,Alternate Art,Character,Red,6,,7000,,Strike,Land of Wano,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",,,3,legal,legal
EB02-007,,Event,Red,3,,,,,Animal/Water Seven/Straw Hat Crew,"[Main] Up to a total of 3 of your Leader and Character cards gain +1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 4000 power or less.",,,3,legal,legal
EB02-008,,Event,Red,2,,,,,Music,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect.",,,3,legal,legal
EB02-009,,Stage,Red,2,,,,,Straw Hat Crew,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.,,Wong Kok Wai,3,legal,legal
EB02-010,,Leader,Green/Purple,,4,5000,,Strike,Straw Hat Crew,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn.",,Takeshi Maenami,3,legal,legal
