card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP13-001,,Leader,Red/Green,,4,5000,,Strike,Supernovas/Straw Hat Crew,"[DON!! x1] [On Your Opponent's Attack] If you have 5 or less active DON!! cards, you may rest any number of your DON!! cards. For every DON!! card rested this way, this Leader or up to 1 of your {Straw Hat Crew} type Characters gains +2000 power during this battle.",,Chiharu Akakura,4,legal,legal
OP13-001p1,Alternate Art,Leader,Red/Green,,4,5000,,Strike,Supernovas/Straw Hat Crew,"[DON!! x1] [On Your Opponent's Attack] If you have 5 or less active DON!! cards, you may rest any number of your DON!! cards. For every DON!! card rested this way, this Leader or up to 1 of your {Straw Hat Crew} type Characters gains +2000 power during this battle.",,,4,legal,legal
OP13-002,,Leader,Red/Blue,,3,6000,,Special,Whitebeard Pirates,"[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 of your opponent's Leader or Character cards −2000 power during this battle. [DON!! x1] [Once Per Turn] When you take damage or your Character with 6000 base power or more is K.O.'d, draw 1 card.",,Bahi JD,4,legal,legal
OP13-002p1,Alternate Art,Leader,Red/Blue,,3,6000,,Special,Whitebeard Pirates,"[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Give up to 1 of your opponent's Leader or Character cards −2000 power during this battle. [DON!! x1] [Once Per Turn] When you take damage or your Character with 6000 base power or more is K.O.'d, draw 1 card.",,,4,legal,legal
OP13-003,,Leader,Red/Purple,,5,7000,,Slash,King of the Pirates/Roger Pirates,"If you have any DON!! cards on your field, 1 DON!! card placed during your DON!! Phase is given to your Leader. If you have 9 or less DON!! cards on your field, give this Leader −2000 power.",,Keisuke Mori,4,legal,legal
OP13-003p1,Alternate Art,Leader,Red/Purple,,5,7000,,Slash,King of the Pirates/Roger Pirates,"If you have any DON!! cards on your field, 1 DON!! card placed during your DON!! Phase is given to your Leader. If you have 9 or less DON!! cards on your field, give this Leader −2000 power.",,,4,legal,legal
OP13-004,,Leader,Red/Black,,5,5000,,Special,Dressrosa/Revolutionary Army,"If you have 4 or more Life cards, give this Leader −1000 power. [DON!! x1] If you have a Character with a cost of 8 or more, your Leader and all of your Characters gain +1000 power.",,He Ziwei,4,legal,legal
OP13-004p1,Alternate Art,Leader,Red/Black,,5,5000,,Special,Dressrosa/Revolutionary Army,"If you have 4 or more Life cards, give this Leader −1000 power. [DON!! x1] If you have a Character with a cost of 8 or more, your Leader and all of your Characters gain +1000 power.",,,4,legal,legal
OP13-005,,Character,Red,4,,5000,2000,Slash,Revolutionary Army,[On Play] Give up to 1 rested DON!! card to your Leader.,,SHINRA AGENCY Co. Ltd.,4,legal,legal
OP13-006,,Character,Red,1,,0,1000,Wisdom,Windmill Village,[On Play] Give up to 2 rested DON!! cards to 1 of your [Monkey.D.Luffy] cards.,,S-KINOKO,4,legal,legal
OP13-007,,Character,Red,1,,1000,2000,Strike,Goa Kingdom,[Activate: Main] You may give 1 of your active DON!! cards to 1 of your Leader or Character cards and trash this Character: Give up to 1 of your opponent's Characters −3000 power during this turn.,,Hashimoto Q,4,legal,legal
OP13-007p1,Alternate Art,Character,Red,1,,1000,2000,Strike,Goa Kingdom,[Activate: Main] You may give 1 of your active DON!! cards to 1 of your Leader or Character cards and trash this Character: Give up to 1 of your opponent's Characters −3000 power during this turn.,,otton,4,legal,legal
OP13-008,,Character,Red,2,,3000,1000,Special,Revolutionary Army,"If your {Revolutionary Army} type Character would be K.O.'d by your opponent's effect, you may trash this Character instead.",,S-KINOKO,4,legal,legal
OP13-009,,Character,Red,1,,2000,1000,Slash,Mountain Bandits,"If you have a {Mountain Bandits} type Character other than this card, this Character gains [Double Attack].",,UGUME,4,legal,legal
OP13-010,,Character,Red,6,,8000,1000,Strike,Neptunian/East Blue,,,Ryo Nakama,4,legal,legal
OP13-011,,Character,Red,5,,6000,2000,Wisdom,Alabasta,,,Aidle Co. Ltd.,4,legal,legal
OP13-012,,Character,Red,1,,2000,1000,Wisdom,Alabasta,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Alabasta} or {Straw Hat Crew} type card with a cost of 2 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Sunohara,4,legal,legal
OP13-013,,Character,Red,1,,3000,,Slash,Mountain Bandits,[On Play] K.O. up to 1 of your opponent's Characters with 0 power or less.,,Ryo Nakama,4,legal,legal
OP13-014,,Character,Red,1,,0,2000,Wisdom,Baterilla,,[Trigger] Up to 1 of your [Portgas.D.Ace] cards gains +3000 power during this turn.,Sunohara,4,legal,legal
OP13-015,,Character,Red,1,,0,2000,Wisdom,Windmill Village,[Activate: Main] You may rest this Character: Up to 1 of your [Monkey.D.Luffy] cards gains +2000 power during this turn.,,Haru Miyajima,4,legal,legal
OP13-016,,Character,Red,1,,2000,1000,Strike,Navy,"[On Play] If your Leader is [Sabo], [Portgas.D.Ace] or [Monkey.D.Luffy], look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 3 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,ASAKI KURODA,4,legal,legal
OP13-016p1,Alternate Art,Character,Red,1,,2000,1000,Strike,Navy,"[On Play] If your Leader is [Sabo], [Portgas.D.Ace] or [Monkey.D.Luffy], look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 3 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Katsuo Tadano,4,legal,legal
OP13-017,,Character,Red,6,,7000,1000,Special,Revolutionary Army,"[Once Per Turn] If your {Revolutionary Army} type Character would be removed from the field by your opponent's effect, you may give this Character −2000 power during this turn instead.",,S-KINOKO,4,legal,legal
OP13-018,,Character,Red,6,,7000,2000,Strike,Evil Black Drum Kingdom,,,Tanaka Kenichi,4,legal,legal
