card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST26-001,,Character,Purple,7,,9000,,Strike,Straw Hat Crew,"If you have a [San-Gorou] or [Sanji] Character with 7000 base power or more, give this card in your hand −5 cost. [On Play] Return all of your [San-Gorou] and [Sanji] Characters to the owner's hand.",,touge369,3,legal,legal
ST26-002,,Character,Purple,3,,4000,1000,Wisdom,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 1 of your opponent's DON!! cards or Characters with a cost of 1 or less.",,kito,3,legal,legal
ST26-003,,Character,Purple,3,,4000,2000,Strike,Straw Hat Crew,[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Add up to 1 DON!! card from your DON!! deck and set it as active.,,Nijihayashi,3,legal,legal
ST26-004,,Character,Purple,8,,10000,,Ranged,Straw Hat Crew,[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to 2 of your opponent's Characters −2000 power during this turn.,,shosuke,3,legal,legal
ST26-005,,Character,Purple,6,,7000,,Strike,Straw Hat Crew,"[On Play]/[When Attacking] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader is multicolored and your opponent has 5 or more DON!! cards on their field, your {Straw Hat Crew} type Leader's base power becomes 7000 until the end of your opponent's next End Phase.",,Yosuke Adachi,3,legal,legal
OP05-065,,Character,Purple,6,,8000,1000,Strike,Straw Hat Crew,,,tatsuya,,legal,legal
OP05-066,,Character,Purple,5,,6000,1000,Strike,Fish-Man/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Opponent's Turn] If you have 10 DON!! cards on your field, this Character gains +1000 power.",,nukadokomogera,,legal,legal
OP05-070,,Character,Purple,5,,4000,2000,Strike,Straw Hat Crew,"[DON!! x1] If you have 8 or more DON!! cards on your field, this Character gains [Rush]. (This card can attack on the turn in which it is played.)",,KISUKE,,legal,legal
OP09-061p2,Leader,Leader,Purple/Black,,4,5000,,Strike,The Four Emperors/Straw Hat Crew,"[DON!! x1] All of your Characters gain +1 cost. [Your Turn] [Once Per Turn] When 2 or more DON!! cards on your field are returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and set it as active, and add up to 1 additional DON!! card and rest it.",,DAI-XT.,3,legal,legal
OP09-063,,Character,Purple,4,,6000,1000,Ranged,Straw Hat Crew,,,Takamasa Moue,,legal,legal
OP09-070,,Character,Purple,3,,2000,2000,Special,Straw Hat Crew,[On Play] You may return 1 or more DON!! cards from your field to your DON!! deck: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,Hashimoto Q,,legal,legal
OP09-076,,Character,Purple,3,,5000,,Slash,Straw Hat Crew,[On Play] You may return 1 or more DON!! cards from your field to your DON!! deck: Add up to 1 DON!! card from your DON!! deck and set it as active.,,Denim2,,legal,legal
OP09-077,,Event,Purple,2,,,,,The Four Emperors/Straw Hat Crew,[Main] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with 6000 power or less. [Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,,,,legal,legal
OP09-078,,Event,Purple,1,,,,,The Four Emperors/Straw Hat Crew,"[Counter] DON!! −2, You may trash 1 card from your hand: If your Leader has the {Straw Hat Crew} type, up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, draw 2 cards.",,,,legal,legal
ST14-010,,Character,Black,5,,7000,1000,Slash,Straw Hat Crew,,,DAI-XT.,,legal,legal
