card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST20-001,,Character,Yellow,5,,6000,1000,Strike,Big Mom Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,Koushi Rokushiro,3,legal,legal
ST20-002,,Character,Yellow,4,,5000,1000,Slash,Big Mom Pirates,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 card from the top of your Life cards instead. [Trigger] You may trash 1 card from your hand: Play this card.",,Yamada Rokkaku.,3,legal,legal
ST20-003,,Character,Yellow,3,,3000,2000,Special,Big Mom Pirates,,"[Trigger] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, add this card to your hand.",Nekobayashi,3,legal,legal
ST20-004,,Character,Yellow,3,,2000,1000,Wisdom,Big Mom Pirates,[On Play] You may add 1 card from the top of your Life cards to your hand: Set up to 1 of your {Big Mom Pirates} type Characters with a cost of 3 or less as active. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 3 or less.,,Koushi Rokushiro,3,legal,legal
ST20-005,,Character,Yellow,6,,7000,,Special,The Four Emperors/Big Mom Pirates,[On Play] You may trash 1 card from your hand: Your opponent chooses one: • Your opponent trashes 2 cards from their hand. • Trash 1 card from the top of your opponent's Life cards.,,Misa Matoki,3,legal,legal
OP03-099p2,Leader,Leader,Yellow,,5,5000,,Strike,Big Mom Pirates,"[DON!! x1] [When Attacking] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, this Leader gains +1000 power during this battle.",,BISAI,1,not legal,legal
OP03-106,,Character,Yellow,4,,6000,1000,Special,Big Mom Pirates,,,Nekobayashi,,not legal,legal
OP03-107,,Character,Yellow,2,,2000,1000,Special,Big Mom Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,phima,,not legal,legal
OP03-110,,Character,Yellow,4,,5000,1000,Special,Big Mom Pirates,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power during this battle. [Trigger] You may trash 1 card from your hand: Play this card.,,NIJIMAARC,,not legal,legal
OP03-112,,Character,Yellow,1,,2000,1000,Wisdom,Big Mom Pirates,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 [Sanji] or {Big Mom Pirates} type card other than [Charlotte Pudding] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Hashimoto Q,,not legal,legal
OP03-115,,Character,Yellow,1,,1000,2000,Slash,Big Mom Pirates,[On Play] You may trash 1 card with a [Trigger] from your hand: K.O. up to 1 of your opponent's Characters with a cost of 1 or less.,,,,not legal,legal
OP03-118,,Event,Yellow,2,,,,,The Four Emperors/Big Mom Pirates,[Counter] Up to 1 of your Leader or Character cards gains +5000 power during this battle. [Trigger] You may trash 2 cards from your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,,,,not legal,legal
OP03-121,,Event,Yellow,2,,,,,The Four Emperors/Big Mom Pirates,[Main] You may trash 1 card from the top of your Life cards: K.O. up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,,,,not legal,legal
ST07-005,,Character,Yellow,4,,5000,1000,Slash,Big Mom Pirates,[DON!! x1] [When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,,kankurou,,not legal,legal
ST07-014,,Character,Yellow,3,,5000,1000,Strike,Minks/Big Mom Pirates,,,,,not legal,legal
