card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST25-001,,Character,Blue,4,,5000,1000,Strike,Cross Guild,"If you have 2 or more Characters with a base cost of 5 or more, this Character gains +1 cost. [On Play] If your Leader is [Buggy], draw 3 cards and trash 2 cards from your hand.",,Hagane Tsurugi,3,legal,legal
ST25-002,,Character,Blue,4,,1000,2000,Slash,Cross Guild,"If you have 2 or more Characters with a base cost of 5 or more, this Character gains [Blocker] and +1 cost. (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Opponent's Turn] This Character gains +5000 power.",,kankurou,3,legal,legal
ST25-003,,Character,Blue,8,,7000,,Slash/Special,Cross Guild/Former Baroque Works,"[On Play] Draw 2 cards and trash 1 card from your hand. Then, play up to 1 {Cross Guild} type Character card with a cost of 4 or less from your hand. [Once Per Turn] If your {Cross Guild} type Character would be removed from the field by your opponent's effect, you may trash 1 card from your hand instead.",,BISAI,3,legal,legal
ST25-004,,Character,Blue,4,,1000,1000,Slash,The Four Emperors/Cross Guild,"[Activate: Main] You may trash 1 card from your hand and trash this Character: If your Leader is [Buggy], play up to 1 {Cross Guild} type Character card with a cost of 6 or less from your hand.",,Hayaken-sarena,3,legal,legal
ST25-005,,Character,Blue,4,,1000,2000,Wisdom,Cross Guild,"If you have 2 or more Characters with a base cost of 5 or more, this Character gains [Blocker] and +1 cost. (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] If your Leader is [Buggy] and you have 3 or less cards in your hand, draw 1 card.",,kankurou,3,legal,legal
OP09-042p2,Leader,Leader,Blue,,5,5000,,Slash,The Four Emperors/Cross Guild,[Activate: Main] You may rest 5 of your DON!! cards and trash 1 card from your hand: Play up to 1 {Cross Guild} type Character card from your hand.,,DAI-XT.,3,legal,legal
OP09-043,,Character,Blue,5,,6000,1000,Strike,Cross Guild,"[On K.O.] If your Leader has the {Cross Guild} type, play up to 1 Character card with a cost of 5 or less other than [Alvida] from your hand.",,Studio Vigor Co. Ltd,,legal,legal
OP09-045,,Character,Blue,5,,5000,2000,Slash,Cross Guild,"If you have a [Buggy] or [Mohji] Character, this Character cannot be K.O.'d in battle.",,UGUME,,legal,legal
OP09-051,,Character,Blue,10,,12000,,Slash,The Four Emperors/Cross Guild,"[On Play] Place up to 1 of your opponent's Characters at the bottom of the owner's deck. Then, if you do not have 5 Characters with a cost of 5 or more, place this Character at the bottom of the owner's deck.",,Studio Vigor Co. Ltd,,legal,legal
OP09-053,,Character,Blue,5,,5000,2000,Wisdom,Cross Guild,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Richie] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Richie] from your hand.",,Suzume Muraichi,,legal,legal
OP09-054,,Character,Blue,2,,2000,1000,Strike,Animal/Cross Guild,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,Yoichi Amano,,legal,legal
OP09-055,,Character,Blue,5,,7000,1000,Slash,Cross Guild/Former Baroque Works,,,Rofta,,legal,legal
OP09-056,,Character,Blue,1,,2000,1000,Special,Cross Guild/Former Baroque Works,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Cross Guild} type card or card with a type including ""Baroque Works"" other than [Mr.3(Galdino)] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Akihiro MIYANO,,legal,legal
OP09-057,,Event,Blue,1,,,,,Cross Guild,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 {Cross Guild} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect.",,,,legal,legal
P-084,,Character,Blue,7,,8000,,Slash,The Four Emperors/Cross Guild,"This Character cannot attack. If your Leader is [Buggy], all Characters with a cost of 3 or 4 cannot attack. [On Play] Play up to 1 {Cross Guild} type Character card with a cost of 6 or less from your hand.",,Kyosuke Usuta,,legal,legal
