card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP02-001,,Leader,Red,,6,6000,,Special,The Four Emperors/Whitebeard Pirates,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,,,1,not legal,legal
OP02-001p1,Alternate Art,Leader,Red,,6,6000,,Special,The Four Emperors/Whitebeard Pirates,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,,,1,not legal,legal
OP02-002,,Leader,Red/Black,,4,5000,,Strike,Navy,"[Your Turn] When this Leader or any of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less −1 cost during this turn.",,,1,not legal,legal
OP02-002p1,Alternate Art,Leader,Red/Black,,4,5000,,Strike,Navy,"[Your Turn] When this Leader or any of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less −1 cost during this turn.",,,1,not legal,legal
OP02-003,,Character,Red,4,,6000,1000,Slash,Whitebeard Pirates,,,Nekobayashi,1,not legal,legal
OP02-004,,Character,Red,9,,10000,,Special,The Four Emperors/Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn. [DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",,tatsuya,1,not legal,legal
OP02-004p1,Alternate Art,Character,Red,9,,10000,,Special,The Four Emperors/Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn. [DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",,,1,not legal,legal
OP02-005,,Character,Red,2,,3000,1000,Slash,Mountain Bandits,"[On Play] Look at up to 5 cards from the top of your deck; reveal up to 1 red Character with a cost of 1 and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Misa Tsutsui,4,legal,legal
OP02-006,,Character,Red,5,,7000,1000,Strike,Whitebeard Pirates,,,HISASHI HUJIWARA,1,not legal,legal
OP02-007,,Character,Red,6,,8000,1000,Wisdom,Whitebeard Pirates,,,kankurou,1,not legal,legal
