card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP03-001,,Leader,Red,,5,5000,,Special,Whitebeard Pirates,"When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",,,1,not legal,legal
OP03-001p1,Alternate Art,Leader,Red,,5,5000,,Special,Whitebeard Pirates,"When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",,Anderson,1,not legal,legal
OP03-002,,Character,Red,4,,5000,1000,Ranged,ODYSSEY,[DON!! x1] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,,BISAI,1,not legal,legal
OP03-003,,Character,Red,1,,2000,1000,Ranged,Land of Wano/Whitebeard Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,kankurou,1,not legal,legal
OP03-004,,Character,Red,3,,4000,1000,Ranged,Whitebeard Pirates,This Character cannot attack a Leader on the turn in which it is played. [DON!! x1] This Character gains [Rush]. (This card can attack on the turn in which it is played.),,kankurou,1,not legal,legal
OP03-005,,Character,Red,1,,2000,1000,Slash,Whitebeard Pirates,"[Activate: Main] [Once Per Turn] This Character gains +2000 power during this turn. Then, trash this Character at the end of this turn.",,touge369,1,not legal,legal
OP03-006,,Character,Red,4,,6000,1000,Slash,Whitebeard Pirates,,,kankurou,1,not legal,legal
OP03-007,,Character,Red,3,,5000,1000,Strike,Fish-Man/Whitebeard Pirates,,,Misa Tsutsui,1,not legal,legal
OP03-008,,Character,Red,1,,3000,,Slash,Buggy Pirates,"This Character cannot be K.O.'d in battle by <Slash> attribute cards. [On Play] Look at 5 cards from the top of your deck; reveal up to 1 red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,akagi,4,legal,legal
OP03-009,,Character,Red,2,,3000,1000,Slash,Whitebeard Pirates,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,,,1,not legal,legal
OP03-010,,Character,Red,2,,2000,1000,Slash,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,HISASHI HUJIWARA,1,not legal,legal
OP03-011,,Character,Red,2,,3000,1000,Strike,Whitebeard Pirates,[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −2000 power during this turn.,,,1,not legal,legal
OP03-012,,Character,Red,4,,6000,,Strike,Whitebeard Pirates,"[When Attacking] You may trash 1 of your red Characters with 4000 power or more: Draw 1 card. Then, this Character gains +1000 power during this battle.",,TAPIOCA,1,not legal,legal
OP03-013,,Character,Red,5,,6000,1000,Special,Whitebeard Pirates,[Your Turn] [On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less. [On K.O.] You may trash 1 Event from your hand: You may play this Character card from your trash rested.,,Studio Vigor Co. Ltd,1,not legal,legal
OP03-013p1,Alternate Art,Character,Red,5,,6000,1000,Special,Whitebeard Pirates,[Your Turn] [On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less. [On K.O.] You may trash 1 Event from your hand: You may play this Character card from your trash rested.,,tatsuya,1,not legal,legal
OP03-014,,Character,Red,3,,5000,,Strike,Navy,[When Attacking] Play up to 1 red Character card with a cost of 1 from your hand.,,,1,not legal,legal
OP03-015,,Character,Red,3,,2000,,Wisdom,ODYSSEY,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Opponent's Turn] When this Character is K.O.'d, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",,NIJIMAARC,1,not legal,legal
OP03-016,,Event,Red,7,,,,,Whitebeard Pirates,"[Main] If your Leader is [Portgas.D.Ace], K.O. up to 1 of your opponent's Characters with 8000 power or less, and your Leader gains [Double Attack] and +3000 power during this turn. (This card deals 2 damage.) [Trigger] K.O. up to 1 of your opponent's Characters with 6000 power or less.",,,1,not legal,legal
OP03-017,,Event,Red,2,,,,,Whitebeard Pirates,"[Main]/[Counter] If your Leader's type includes ""Whitebeard Pirates"", give up to 1 of your opponent's Characters −4000 power during this turn. [Trigger] Activate this card's [Main] effect.",,,1,not legal,legal
OP03-018,,Event,Red,3,,,,,Whitebeard Pirates,[Main] You may trash 1 Event from your hand: K.O. up to 1 of your opponent's Characters with 5000 power or less and up to 1 of your opponent's Characters with 4000 power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 power or less.,,,1,not legal,legal
OP03-018p1,Alternate Art,Event,Red,3,,,,,Whitebeard Pirates,[Main] You may trash 1 Event from your hand: K.O. up to 1 of your opponent's Characters with 5000 power or less and up to 1 of your opponent's Characters with 4000 power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 power or less.,,Makitoshi,1,not legal,legal
OP03-019,,Event,Red,2,,,,,Whitebeard Pirates,[Main] Your Leader gains +4000 power during this turn. [Trigger] Give up to 1 of your opponent's Leader or Character cards -10000 power during this turn.,,,1,not legal,legal
OP03-020,,Stage,Red,1,,,,,Whitebeard Pirates,"[Activate: Main] ② (You may rest the specified number of DON!! cards in your cost area.) You may rest this Stage: If your Leader is [Portgas.D.Ace], look at 5 cards from the top of your deck; reveal up to 1 Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Nijihayashi,1,not legal,legal
OP03-021,,Leader,Green,,5,5000,,Slash,East Blue/Black Cat Pirates,"[Activate: Main] ③ (You may rest the specified number of DON!! cards in your cost area.) You may rest 2 of your {East Blue} type Characters: Set this Leader as active, and rest up to 1 of your opponent's Characters with a cost of 5 or less.",,,1,not legal,legal
OP03-021p1,Alternate Art,Leader,Green,,5,5000,,Slash,East Blue/Black Cat Pirates,"[Activate: Main] ③ (You may rest the specified number of DON!! cards in your cost area.) You may rest 2 of your {East Blue} type Characters: Set this Leader as active, and rest up to 1 of your opponent's Characters with a cost of 5 or less.",,Anderson,1,not legal,legal
