card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP09-001,,Leader,Red,,5,5000,,Slash,The Four Emperors/Red-Haired Pirates,[Once Per Turn] This effect can be activated when your opponent attacks. Give up to 1 of your opponent's Leader or Character cards −1000 power during this turn.,,,3,legal,legal
OP09-001p1,Alternate Art,Leader,Red,,5,5000,,Slash,The Four Emperors/Red-Haired Pirates,[Once Per Turn] This effect can be activated when your opponent attacks. Give up to 1 of your opponent's Leader or Character cards −1000 power during this turn.,,,3,legal,legal
OP09-002,,Character,Red,1,,2000,1000,Special,FILM,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Red-Haired Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,nuisuke,3,legal,legal
OP09-002p1,Alternate Art,Character,Red,1,,2000,1000,Special,FILM,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Red-Haired Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,otton,3,legal,legal
OP09-003,,Character,Red,4,,5000,1000,Ranged,Heart Pirates,[When Attacking] Give up to 1 of your opponent's Characters −2000 power during this turn.,,Aidle Co. Ltd.,3,legal,legal
OP09-004,,Character,Red,10,,12000,,Slash,The Four Emperors/Red-Haired Pirates,Give all of your opponent's Characters −1000 power. [Rush] (This card can attack on the turn in which it is played.),,POKImari,3,legal,legal
OP09-004p1,Alternate Art,Character,Red,10,,12000,,Slash,The Four Emperors/Red-Haired Pirates,Give all of your opponent's Characters −1000 power. [Rush] (This card can attack on the turn in which it is played.),,mushimaro,3,legal,legal
OP09-004p2,Manga Art,Character,Red,10,,12000,,Slash,The Four Emperors/Red-Haired Pirates,Give all of your opponent's Characters −1000 power. [Rush] (This card can attack on the turn in which it is played.),,,,legal,legal
OP09-004p3,Special Card,Character,Red,10,,12000,,Slash,The Four Emperors/Red-Haired Pirates,Give all of your opponent's Characters −1000 power. [Rush] (This card can attack on the turn in which it is played.),,,3,legal,legal
OP09-005,,Character,Red,5,,6000,1000,Slash,Roger Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] If your opponent has 2 or more Characters with a base power of 5000 or more, draw 2 cards and trash 1 card from your hand.",,Matsumoto Akira,3,legal,legal
