card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP17-001,,Leader,Red,,5,5000,,Special,The Four Emperors/Whitebeard Pirates,[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Characters gains +4000 power during this battle.,,Kohei Mikoshi,5,legal,legal
OP17-001p1,Alternate Art,Leader,Red,,5,5000,,Special,The Four Emperors/Whitebeard Pirates,[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Characters gains +4000 power during this battle.,,,5,legal,legal
OP17-002,,Character,Red,4,,6000,,Slash,Whitebeard Pirates,[Opponent's Turn] This Character gains +3000 power.,,touge369,5,legal,legal
OP17-003,,Character,Red,4,,6000,,Ranged,Land of Wano/Whitebeard Pirates,"[Rush: Character] [On Play] If your Leader is [Edward.Newgate] or has the {Land of Wano} type, give up to 1 of your opponent's rested Characters −6000 power during this turn.",,Hokuyuu,5,legal,legal
OP17-004,,Character,Red,3,,2000,2000,Slash,Minks/Land of Wano/Whitebeard Pirates,"[On Play] Up to 1 of your {Land of Wano} type Characters or up to 1 of your Characters with a type including ""Whitebeard Pirates"" gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",,kito,5,legal,legal
OP17-005,,Character,Red,10,,12000,,Special,The Four Emperors/Whitebeard Pirates,"If your opponent has a Character with 10000 power or more, give this card in your hand −4 cost. [On Play] Your monocolored Leader's base power becomes 8000 until the end of your opponent's next End Phase.",,Yosuke Adachi,,legal,legal
OP17-005p1,Alternate Art,Character,Red,10,,12000,,Special,The Four Emperors/Whitebeard Pirates,"If your opponent has a Character with 10000 power or more, give this card in your hand −4 cost. [On Play] Your monocolored Leader's base power becomes 8000 until the end of your opponent's next End Phase.",,DAI-XT.,,legal,legal
OP17-005p2,Manga Art,Character,Red,10,,12000,,Special,The Four Emperors/Whitebeard Pirates,"If your opponent has a Character with 10000 power or more, give this card in your hand −4 cost. [On Play] Your monocolored Leader's base power becomes 8000 until the end of your opponent's next End Phase.",,,,legal,legal
OP17-006,,Character,Red,7,,8000,2000,Strike,Whitebeard Pirates,,,kankurou,5,legal,legal
OP17-006p1,Parallel,Character,Red,7,,8000,2000,Strike,Whitebeard Pirates,,,kankurou,5,legal,legal
OP17-007,,Character,Red,7,,8000,,Slash,Land of Wano/Kouzuki Clan/Whitebeard Pirates,"[On Play] If your Leader is [Edward.Newgate] or has the {Land of Wano} type, play up to 1 {Land of Wano} type Character card or Character card with a type including ""Whitebeard Pirates"" with 6000 power or less from your hand.",,Nijihayashi,5,legal,legal
OP17-008,,Character,Red,6,,8000,,Strike,Whitebeard Pirates,[On Play] Your [Edward.Newgate] Leader's base power becomes 8000 until the end of your opponent's next End Phase.,,HISASHI HUJIWARA,5,legal,legal
OP17-009,,Character,Red,4,,5000,1000,Slash,Whitebeard Pirates,[Opponent's Turn] This Character gains +3000 power. [On Play] K.O. up to 1 of your opponent's Characters with 2000 base power or less.,,Nekobayashi,5,legal,legal
OP17-010,,Character,Red,1,,3000,,Slash,Whitebeard Pirates,"[Activate: Main] [Once Per Turn] If your opponent has a Character with 10000 power or more and you have no other [Fossa], this Character gains [Blocker] and +2000 power until the end of your opponent's next End Phase.",,kankurou,5,legal,legal
OP17-011,,Character,Red,5,,6000,1000,Strike,Whitebeard Pirates,[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −4000 power during this turn.,,Yasushi Yamaguchi,5,legal,legal
OP17-012,,Character,Red,2,,1000,1000,Slash,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] Play up to 1 card with a cost of 1 and a type including ""Whitebeard Pirates"" from your hand.",,Nekobayashi,5,legal,legal
OP17-013,,Character,Red,6,,6000,1000,Special,Whitebeard Pirates,"If your opponent has a Character with 10000 power or more, give this card in your hand −2 cost. [On Play] If your Leader is [Edward.Newgate], give up to 1 of your opponent's rested Characters −6000 power during this turn.",,Tadaichi Nakama,5,legal,legal
