card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST27-001,,Character,Black,1,,1000,1000,Special,Blackbeard Pirates,"[Activate: Main] [Once Per Turn] You may rest 1 of your [Fullalead] cards: If your Leader has the {Blackbeard Pirates} type, this Character gains +4000 power during this turn. [On K.O.] Draw 1 card.",,kankurou,3,legal,legal
ST27-002,,Character,Black,1,,1000,2000,Special,Blackbeard Pirates,"[Activate: Main] You may trash this Character: If your Leader has the {Blackbeard Pirates} type, give up to 1 of your opponent's Characters −1 cost during this turn. [On K.O.] Draw 1 card.",,HISASHI HUJIWARA,3,legal,legal
ST27-003,,Character,Black,6,,6000,1000,Special,Blackbeard Pirates/Former Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On K.O.] Play up to 1 {Blackbeard Pirates} type Character card with a cost of 5 or less from your trash rested.",,Koushi Rokushiro,3,legal,legal
ST27-004,,Character,Black,4,,6000,1000,Strike,Giant/Blackbeard Pirates,"If your Leader has the {Blackbeard Pirates} type, this Character gains [Blocker] and +1 cost for every 4 cards in your trash. (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] Trash 1 card from your hand.",,kankurou,3,legal,legal
ST27-005,,Character,Black,7,,8000,,Special,The Four Emperors/Blackbeard Pirates,[Activate: Main] You may rest this Character: K.O. up to 1 Character with a cost of 3 or less. [On K.O.] Add up to 1 black card from your trash to your hand.,,eiji kaneda,3,legal,legal
OP09-081p2,Leader,Leader,Black,,5,5000,,Special,The Four Emperors/Blackbeard Pirates,Your [On Play] effects are negated. [Activate: Main] You may trash 1 card from your hand: Your opponent's [On Play] effects are negated until the end of your opponent's next turn.,,DAI-XT.,3,legal,legal
OP09-083,,Character,Black,5,,6000,1000,Ranged,Blackbeard Pirates,"[Activate: Main] You may rest this Character: If your Leader has the {Blackbeard Pirates} type, give up to 1 of your opponent's Characters −3 cost during this turn. [On K.O.] Draw 1 card.",,UGUME,,legal,legal
OP09-086,,Character,Black,4,,5000,1000,Strike,Blackbeard Pirates,"This Character cannot be K.O.'d by your opponent's effects. If your Leader has the {Blackbeard Pirates} type, this Character gains +1000 power for every 4 cards in your trash.",,Aidle Co. Ltd.,,legal,legal
OP09-088,,Character,Black,3,,4000,2000,Slash,Blackbeard Pirates,[DON!! x1] [When Attacking] You may trash 2 cards from your hand: Draw 2 cards.,,ASAKI KURODA,,legal,legal
OP09-089,,Character,Black,1,,0,2000,Wisdom,Animal/Blackbeard Pirates,"[Activate: Main] You may trash 1 card from your hand and trash this Character: If your Leader has the {Blackbeard Pirates} type, draw 1 card. Then, give up to 1 of your opponent's Characters –2 cost during this turn.",,Aidle Co. Ltd.,,legal,legal
OP09-090,,Character,Black,2,,0,1000,Special,Blackbeard Pirates,"[Activate: Main] You may rest this Character: If your Leader has the {Blackbeard Pirates} type, K.O. up to 1 of your opponent's Characters with a cost of 1 or less. [On K.O.] Draw 1 card.",,Aidle Co. Ltd.,,legal,legal
OP09-091,,Character,Black,2,,2000,1000,Special,Blackbeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,Aidle Co. Ltd.,,legal,legal
OP09-095,,Character,Black,1,,1000,1000,Strike,Blackbeard Pirates,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Blackbeard Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Suzume Muraichi,,legal,legal
OP09-099,,Stage,Black,1,,,,,Blackbeard Pirates,"[Activate: Main] You may trash 1 card from your hand and rest this Stage: Look at 3 cards from the top of your deck; reveal up to 1 {Blackbeard Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,,,legal,legal
OP10-084,,Character,Black,5,,7000,1000,Special,Giant/Blackbeard Pirates,,,Aidle Co. Ltd.,,legal,legal
