card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
OP11-001,,Leader,Red/Black,,4,5000,,Strike,Navy/SWORD,"Your {SWORD} type Characters can attack Characters on the turn in which they are played. [Once Per Turn] If your {Navy} type Character with 7000 base power or less would be removed from the field by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.",,Moeka Araki,3,legal,legal
OP11-001p1,Alternate Art,Leader,Red/Black,,4,5000,,Strike,Navy/SWORD,"Your {SWORD} type Characters can attack Characters on the turn in which they are played. [Once Per Turn] If your {Navy} type Character with 7000 base power or less would be removed from the field by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.",,Ryuda,3,legal,legal
OP11-002,,Character,Red,3,,4000,1000,Special,FILM/Neo Navy,"[On Play] Give up to 1 of your opponent's Characters −1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 0 power or less.",,Hatori Kyoka,3,legal,legal
OP11-003,,Character,Red,5,,6000,2000,Ranged,Straw Hat Crew,,,Aidle Co. Ltd.,3,legal,legal
OP11-004,,Character,Red,1,,0,1000,Special,Navy/SWORD,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Navy} type card other than [Kujyaku] and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Activate: Main] You may trash this Character: Up to 1 of your Characters gains +1000 power during this turn.",,SHIE NANAHARA,3,legal,legal
OP11-004p1,Alternate Art,Character,Red,1,,0,1000,Special,Navy/SWORD,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Navy} type card other than [Kujyaku] and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Activate: Main] You may trash this Character: Up to 1 of your Characters gains +1000 power during this turn.",,Hashimoto Q,3,legal,legal
OP11-005,,Character,Red,4,,5000,1000,Special,Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] This Character cannot be K.O.'d by effects of Characters without the <Special> attribute.",,Studio Vigor Co. Ltd,3,legal,legal
OP11-006,,Character,Red,5,,6000,1000,Strike,FILM/Neo Navy,[DON!! x1] [When Attacking] Give up to 1 of your opponent's <Special> attribute Characters −5000 power during this turn.,,Anderson,3,legal,legal
OP11-007,,Character,Red,1,,1000,1000,Slash,Navy,"[Activate: Main] You may rest this Character: If your Leader has the {Navy} type, up to 1 of your {Navy} type Characters gains +2000 power during this turn.",,SHINRA AGENCY Co. Ltd.,3,legal,legal
OP11-008,,Character,Red,4,,1000,1000,Strike,Navy,"[Blocker] [On Play] You may trash 1 card from your hand: If your Leader has the {Navy} type, give up to 1 of your opponent's Characters −6000 power during this turn.",,SHINRA AGENCY Co. Ltd.,3,legal,legal
OP11-008p1,Alternate Art,Character,Red,4,,1000,1000,Strike,Navy,"[Blocker] [On Play] You may trash 1 card from your hand: If your Leader has the {Navy} type, give up to 1 of your opponent's Characters −6000 power during this turn.",,phima,3,legal,legal
OP11-009,,Character,Red,3,,4000,1000,Strike,Straw Hat Crew,[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −2000 power until the end of your opponent's next turn.,,Naruse Uroko,3,legal,legal
OP11-010,,Character,Red,5,,6000,,Ranged,Navy/SWORD,"[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn. [When Attacking] This Character gains +1000 power during this turn. Then, up to 1 of your {Navy} type Leader can also attack active Characters during this turn.",,Sunohara,3,legal,legal
OP11-010p1,Alternate Art,Character,Red,5,,6000,,Ranged,Navy/SWORD,"[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn. [When Attacking] This Character gains +1000 power during this turn. Then, up to 1 of your {Navy} type Leader can also attack active Characters during this turn.",,Chiharu Akakura,3,legal,legal
OP11-011,,Character,Red,5,,7000,1000,Special,FILM/Neo Navy,,,Yoichi Amano,3,legal,legal
OP11-012,,Character,Red,4,,4000,2000,Strike,Straw Hat Crew,"[Your Turn] [Once Per Turn] When your opponent activates an Event, all of your Characters gain +2000 power during this turn.",,tasaka,3,legal,legal
