card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST16-001,,Character,Green,4,,6000,,Special,FILM,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Activate: Main] [Once Per Turn] You may trash 1 {FILM} type card from your hand: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,Yosuke Adachi,3,legal,legal
ST16-002,,Character,Green,2,,0,1000,Wisdom,FILM,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Your Opponent's Attack] You may trash any number of {Music} type cards from your hand. Your Leader or 1 of your Characters gains +1000 power during this battle for every card trashed.",,kankurou,3,legal,legal
ST16-003,,Character,Green,3,,4000,1000,Strike,FILM/Big Mom Pirates,"If your Leader has the {FILM} type and you have 6 or more rested cards, this Character gains +2000 power.",,eiji kaneda,3,legal,legal
ST16-004,,Character,Green,9,,11000,,Slash,FILM/The Four Emperors/Red-Haired Pirates,[On Play] K.O. up to 1 of your opponent's rested Characters.,,Nijihayashi,3,legal,legal
ST16-005,,Character,Green,2,,3000,2000,Strike,FILM/Supernovas/Straw Hat Crew,"If you have a rested [Uta], this Character gains +1000 power.",,Yasushi Yamaguchi,3,legal,legal
P-029,,Character,Green,2,,3000,1000,Special,FILM/Supernovas/Barto Club,[End of Your Turn] You may rest this Character: Set up to 1 of your {FILM} type Characters other than [Bartolomeo] as active.,,TAPIOCA,,not legal,legal
P-057p1,Parallel,Event,Green,3,,,,,Music/FILM,"[Main] If your Leader is [Uta], up to 2 of your opponent's rested Characters with a cost of 4 or less will not become active in your opponent's next Refresh Phase. [Trigger] Activate this card's [Main] effect.",,,2,legal,legal
P-058p1,Parallel,Event,Green,2,,,,,Music/FILM,"[Main] If your Leader is [Uta], set all of your {FILM} type Characters as active at the end of this turn. [Trigger] Set all of your {FILM} type Characters as active.",,,2,legal,legal
P-059p1,Parallel,Event,Green,2,,,,,Music/FILM,"[Counter] If your Leader is [Uta], you may return any number of Characters on your field to the owner's hand. Up to 1 of your Leader or Character cards gains +2000 power during this battle for every returned Character.",,,2,legal,legal
P-060p1,Parallel,Event,Green,2,,,,,Music/FILM,[Main] You may rest 1 of your [Uta] cards: Rest up to 2 of your opponent's DON!! cards.,,,2,legal,legal
P-061,,Character,Green,8,,10000,1000,Strike,FILM/Straw Hat Crew,,,,,legal,legal
ST11-001p1,Leader,Leader,Green,,5,5000,,Special,FILM,"[DON!! x1] [When Attacking] [Once Per Turn] Reveal 1 card from the top of your deck and add up to 1 {FILM} type card to your hand. Then, place the rest at the bottom of your deck.",,BISAI,2,legal,legal
ST11-003p2,Common,Event,Green,2,,,,,Music/FILM,"[Main] If your Leader is [Uta], choose one: • Rest up to 1 of your opponent's Characters with a cost of 5 or less. • K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less.",,,2,legal,legal
ST11-004p2,Super Rare,Event,Green,1,,,,,Music/FILM,"[Main] If your Leader is [Uta], look at 3 cards from the top of your deck; reveal up to 1 {FILM} type card other than [New Genesis] and add it to your hand. Then, place the rest at the bottom of your deck in any order and set up to 1 of your DON!! cards as active.",,,2,legal,legal
ST11-005p2,Common,Event,Green,3,,,,,Music/FILM,[Main] Set up to 1 of your [Uta] Leader as active. [Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,,,2,legal,legal
