card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST10-001,,Leader,Red/Purple,,4,5000,,Slash,Heart Pirates,"[Activate: Main] [Once Per Turn] DON!! −3 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Place up to 1 of your opponent's Characters with 3000 power or less at the bottom of the owner's deck, and play up to 1 Character card with a cost of 4 or less from your hand.",,Makitoshi,2,,
ST10-002,,Leader,Red/Purple,,3,6000,,Strike,Straw Hat Crew,"[Activate: Main] [Once Per Turn] If you have 0 DON!! cards on your field or 8 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active.",,Makitoshi,2,legal,legal
ST10-003,,Leader,Red/Purple,,5,5000,,Special,Kid Pirates,"[Your Turn] If you have 4 or more Life cards, give this Leader −1000 power. [When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Leader gains +2000 power during this turn.",,Makitoshi,2,legal,legal
ST10-004,,Character,Red,6,,6000,1000,Strike,Straw Hat Crew,"[On Play] If your opponent has a Character with 5000 or more power, this Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",,S-KINOKO,2,legal,legal
ST10-005,,Character,Red,2,,2000,2000,Strike,Fish-Man/Straw Hat Crew,[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −2000 power during this turn.,,S-KINOKO,2,legal,legal
ST10-006,,Character,Red,10,,11000,,Strike,Straw Hat Crew,"[Rush] (This card can attack on the turn in which it is played.) [Once Per Turn] When your opponent activates a [Blocker], K.O. up to 1 of your opponent's Characters with 8000 power or less.",,phima,2,legal,legal
ST10-007,,Character,Purple,5,,6000,1000,Slash,Kid Pirates,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",,Studio Vigor Co. Ltd,2,legal,legal
ST10-008,,Character,Purple,4,,5000,2000,Ranged,Heart Pirates,"[On Play] If you have 3 or less DON!! cards on your field, add up to 2 DON!! cards from your DON!! deck and rest them.",,Studio Vigor Co. Ltd,2,legal,legal
ST10-009,,Character,Purple,4,,5000,1000,Strike,Heart Pirates,[On Play] ➀ (You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and set it as active.,,tatsuya,2,legal,legal
ST10-010,,Character,Purple,4,,5000,1000,Slash,Heart Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your opponent has 7 or more cards in their hand, trash 2 cards from your opponent's hand.",,Minato Sashima,2,legal,legal
ST10-011,,Character,Purple,3,,4000,1000,Special,Kid Pirates,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, this Character gains +2000 power until the start of your next turn.",,ASAKI KURODA,2,legal,legal
ST10-012,,Character,Purple,4,,5000,1000,Strike,Minks/Heart Pirates,"[On Play]/[When Attacking] If your opponent has more DON!! cards on their field than you, add up to 1 DON!! card from your DON!! deck and rest it.",,COGA,2,legal,legal
ST10-013,,Character,Purple,7,,8000,,Special,Kid Pirates,[On Play]/[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader gains +1000 power until the start of your next turn.,,SENNSU,2,legal,legal
ST10-014,,Character,Purple,3,,3000,1000,Slash,Kid Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, draw 1 card and trash 1 card from your hand.",,ASAKI KURODA,2,legal,legal
ST10-015,,Event,Red,1,,,,,Straw Hat Crew,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle, and K.O. up to 1 of your opponent's Characters with 2000 power or less.",,,2,legal,legal
ST10-016,,Event,Red,5,,,,,Straw Hat Crew,[Main] K.O. up to 1 of your opponent's Characters with 7000 power or less. [Trigger] Up to 1 of your Leader gains +1000 power until the end of your next turn.,,,2,legal,legal
ST10-017,,Event,Purple,3,,,,,Kid Pirates,"[Main] Rest up to 1 of your opponent's Characters with a cost of 2 or less, and add up to 1 DON!! card from your DON!! deck and rest it. [Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",,,2,legal,legal
OP01-016p3,Parallel,Character,Red,1,,2000,1000,Special,Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,Sunohara,1,legal,legal
OP01-025p3,Parallel,Character,Red,3,,5000,,Slash,Supernovas/Straw Hat Crew,[Rush] (This card can attack on the turn in which it is played.),,phima,1,not legal,legal
