card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST02-001,,Leader,Green,,5,5000,,Special,Supernovas/Kid Pirates,[Activate: Main] [Once Per Turn] ③ (You may rest the specified number of DON!! cards in your cost area.) You may trash 1 card from your hand: Set this Leader as active.,,,1,not legal,legal
ST02-002,,Character,Green,3,,5000,1000,Ranged,Firetank Pirates,,,,1,not legal,legal
ST02-003,,Character,Green,2,,3000,1000,Strike,Supernovas/Fallen Monk Pirates,"[DON!! x1] If you have 3 or more Characters, this card gains +2000 power.",,,1,not legal,legal
ST02-004,,Character,Green,1,,1000,,Special,Supernovas/Firetank Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,,1,not legal,legal
ST02-005,,Character,Green,3,,3000,1000,Slash,Supernovas/Kid Pirates,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less. [Trigger] Play this card.,,,1,not legal,legal
ST02-006,,Character,Green,4,,6000,1000,Strike,Navy,,,,1,not legal,legal
ST02-007,,Character,Green,1,,1000,1000,Special,Supernovas/Bonney Pirates,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area.) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Supernovas} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,,4,legal,legal
ST02-008,,Character,Green,2,,3000,2000,Ranged,Supernovas/On-Air Pirates,[DON!! x1] [When Attacking] Rest up to 1 of your opponent's DON!! cards.,,,1,not legal,legal
ST02-009,,Character,Green,5,,6000,1000,Slash,Supernovas/Heart Pirates,[On Play] Set up to 1 of your {Supernovas} or {Heart Pirates} type rested Characters with a cost of 5 or less as active.,,,1,not legal,legal
ST02-010,,Character,Green,5,,6000,,Slash,Supernovas/Hawkins Pirates,"[DON!! x1] [Once Per Turn] [Your Turn] If this Character battles your opponent's Character, set this card as active.",,,1,not legal,legal
ST02-011,,Character,Green,2,,4000,1000,Special,Kid Pirates,,,,1,not legal,legal
ST02-012,,Character,Green,1,,3000,1000,Strike,Minks/Heart Pirates,,,,1,not legal,legal
ST02-013,,Character,Green,7,,7000,,Special,Supernovas/Kid Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x1] [End of Your Turn] Set this card as active.",,,1,not legal,legal
ST02-014,,Character,Green,4,,5000,1000,Slash,Navy/Supernovas/Drake Pirates,"[DON!! x1] [Your Turn] If this Character is rested, your {Supernovas} or {Navy} type Leaders and Characters gain +1000 power.",,,1,not legal,legal
ST02-015,,Event,Green,1,,,,,Supernovas/Heart Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, set up to 1 of your DON!! cards as active. [Trigger] Set up to 2 of your DON!! cards as active.",,,1,not legal,legal
ST02-016,,Event,Green,2,,,,,Supernovas/Kid Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, set up to 1 of your DON!! cards as active.",,,1,not legal,legal
ST02-017,,Event,Green,2,,,,,Supernovas/Hawkins Pirates,[Main] Rest up to 1 of your opponent's Characters. [Trigger] Play up to 1 {Supernovas} type card with a cost of 2 or less from your hand.,,,1,not legal,legal
