card_number,as_of,market_usd,source
ST06-001,2026-09-05,1.65,limitless
ST06-002,2026-09-05,0.17,limitless
ST06-003,2026-09-05,0.12,limitless
ST06-004,2026-09-05,1.33,limitless
ST06-005,2026-09-05,0.13,limitless
ST06-006,2026-09-05,0.61,limitless
ST06-007,2026-09-05,0.08,limitless
ST06-008,2026-09-05,0.40,limitless
ST06-009,2026-09-05,0.06,limitless
ST06-010,2026-09-05,0.11,limitless
ST06-011,2026-09-05,0.09,limitless
ST06-012,2026-09-05,0.74,limitless
ST06-013,2026-09-05,0.07,limitless
ST06-014,2026-09-05,0.09,limitless
ST06-015,2026-09-05,3.18,limitless
ST06-016,2026-09-05,0.13,limitless
ST06-017,2026-09-05,0.98,limitless
