card_number,as_of,market_usd
EB01-001,2026-09-05,0.31
EB01-001p1,2026-09-05,62.95
EB01-002,2026-09-05,2.72
EB01-003,2026-09-05,1.92
EB01-003p1,2026-09-05,10.36
EB01-004,2026-09-05,0.08
EB01-005,2026-09-05,0.07
EB01-006,2026-09-05,23.65
EB01-006p1,2026-09-05,150.66
EB01-006p2,2026-09-05,3492.00
EB01-007,2026-09-05,0.19
EB01-008,2026-09-05,0.19
EB01-009,2026-09-05,0.14
EB01-010,2026-09-05,0.25
EB01-011,2026-09-05,0.11
EB01-012,2026-09-05,3.85
EB01-012p1,2026-09-05,19.76
EB01-013,2026-09-05,3.82
EB01-013p1,2026-09-05,30.88
EB01-014,2026-09-05,0.87
EB01-015,2026-09-05,0.68
EB01-016,2026-09-05,0.06
EB01-017,2026-09-05,0.07
EB01-018,2026-09-05,0.09
EB01-019,2026-09-05,0.33
EB01-020,2026-09-05,0.12
EB01-021,2026-09-05,0.20
EB01-021p1,2026-09-05,26.48
EB01-022,2026-09-05,0.86
EB01-022p1,2026-09-05,7.89
EB01-023,2026-09-05,1.14
EB01-024,2026-09-05,0.07
EB01-025,2026-09-05,0.07
EB01-026,2026-09-05,0.08
EB01-027,2026-09-05,0.51
EB01-027p1,2026-09-05,2.45
EB01-028,2026-09-05,2.80
EB01-029,2026-09-05,0.15
EB01-030,2026-09-05,0.12
EB01-031,2026-09-05,0.46
EB01-031p1,2026-09-05,16.41
EB01-032,2026-09-05,0.09
EB01-033,2026-09-05,1.08
EB01-034,2026-09-05,2.39
EB01-034p1,2026-09-05,14.77
EB01-035,2026-09-05,0.10
EB01-036,2026-09-05,0.12
EB01-037,2026-09-05,0.10
EB01-038,2026-09-05,0.13
EB01-039,2026-09-05,1.93
EB01-040,2026-09-05,0.20
EB01-040p1,2026-09-05,20.72
EB01-041,2026-09-05,0.09
EB01-042,2026-09-05,0.30
EB01-043,2026-09-05,0.63
EB01-044,2026-09-05,0.10
EB01-045,2026-09-05,0.18
EB01-046,2026-09-05,1.26
EB01-046p1,2026-09-05,22.37
EB01-047,2026-09-05,0.16
EB01-048,2026-09-05,5.74
EB01-048p1,2026-09-05,80.17
EB01-049,2026-09-05,0.59
EB01-049p1,2026-09-05,4.64
EB01-050,2026-09-05,0.22
EB01-051,2026-09-05,0.67
EB01-052,2026-09-05,3.34
EB01-052p1,2026-09-05,11.21
EB01-053,2026-09-05,0.10
EB01-054,2026-09-05,0.17
EB01-055,2026-09-05,0.10
EB01-056,2026-09-05,3.71
EB01-056p1,2026-09-05,23.43
EB01-057,2026-09-05,0.52
EB01-057p1,2026-09-05,10.41
EB01-058,2026-09-05,0.07
EB01-059,2026-09-05,4.45
EB01-060,2026-09-05,0.07
EB01-061,2026-09-05,19.06
EB01-061p1,2026-09-05,114.73
