card_number,as_of,market_usd
OP14-001,2026-09-05,0.17
OP14-001p1,2026-09-05,21.14
OP14-002,2026-09-05,0.09
OP14-003,2026-09-05,0.03
OP14-004,2026-09-05,0.08
OP14-005,2026-09-05,0.11
OP14-006,2026-09-05,0.04
OP14-007,2026-09-05,0.12
OP14-008,2026-09-05,0.06
OP14-009,2026-09-05,0.60
OP14-009p1,2026-09-05,14.93
OP14-010,2026-09-05,0.09
OP14-011,2026-09-05,0.11
OP14-012,2026-09-05,0.10
OP14-013,2026-09-05,0.73
OP14-013p1,2026-09-05,12.13
OP14-014,2026-09-05,0.12
OP14-015,2026-09-05,0.28
OP14-015p1,2026-09-05,9.26
OP14-016,2026-09-05,0.19
OP14-017,2026-09-05,0.12
OP14-018,2026-09-05,0.62
OP14-019,2026-09-05,0.26
OP14-020,2026-09-05,0.20
OP14-020p1,2026-09-05,67.56
OP14-021,2026-09-05,0.06
OP14-022,2026-09-05,0.18
OP14-023,2026-09-05,0.68
OP14-024,2026-09-05,0.09
OP14-025,2026-09-05,0.05
OP14-026,2026-09-05,0.13
OP14-027,2026-09-05,0.82
OP14-027p1,2026-09-05,24.11
OP14-028,2026-09-05,0.04
OP14-029,2026-09-05,0.24
OP14-030,2026-09-05,0.04
OP14-031,2026-09-05,6.84
OP14-031p1,2026-09-05,68.30
OP14-032,2026-09-05,0.12
OP14-033,2026-09-05,10.14
OP14-033p1,2026-09-05,47.88
OP14-034,2026-09-05,0.23
OP14-035,2026-09-05,0.04
OP14-036,2026-09-05,0.14
OP14-037,2026-09-05,0.18
OP14-038,2026-09-05,0.13
OP14-039,2026-09-05,0.14
OP14-040,2026-09-05,0.15
OP14-040p1,2026-09-05,10.43
OP14-041,2026-09-05,0.21
OP14-041p1,2026-09-05,97.98
OP14-042,2026-09-05,0.12
OP14-042p1,2026-09-05,3.40
OP14-043,2026-09-05,0.11
OP14-044,2026-09-05,0.15
OP14-045,2026-09-05,0.07
OP14-046,2026-09-05,0.08
OP14-047,2026-09-05,0.13
OP14-048,2026-09-05,0.04
OP14-049,2026-09-05,1.50
OP14-049p1,2026-09-05,10.73
OP14-050,2026-09-05,0.11
OP14-051,2026-09-05,0.09
OP14-052,2026-09-05,0.05
OP14-053,2026-09-05,0.05
OP14-054,2026-09-05,0.09
OP14-055,2026-09-05,0.07
OP14-056,2026-09-05,0.07
OP14-057,2026-09-05,0.06
OP14-058,2026-09-05,0.10
OP14-059,2026-09-05,0.10
OP14-060,2026-09-05,0.19
OP14-060p1,2026-09-05,22.94
OP14-061,2026-09-05,0.28
OP14-061p1,2026-09-05,3.54
OP14-062,2026-09-05,0.06
OP14-063,2026-09-05,0.19
OP14-064,2026-09-05,0.04
OP14-065,2026-09-05,0.09
OP14-066,2026-09-05,0.04
OP14-067,2026-09-05,0.11
OP14-068,2026-09-05,0.11
OP14-069,2026-09-05,0.92
OP14-069p1,2026-09-05,9.29
OP14-070,2026-09-05,0.05
OP14-071,2026-09-05,0.12
OP14-072,2026-09-05,0.17
OP14-073,2026-09-05,0.04
OP14-074,2026-09-05,0.16
OP14-075,2026-09-05,0.04
OP14-076,2026-09-05,0.18
OP14-077,2026-09-05,0.15
OP14-078,2026-09-05,0.10
OP14-079,2026-09-05,0.19
OP14-079p1,2026-09-05,25.83
OP14-080,2026-09-05,0.13
OP14-080p1,2026-09-05,13.14
OP14-081,2026-09-05,0.05
OP14-082,2026-09-05,0.06
OP14-083,2026-09-05,0.14
OP14-084,2026-09-05,2.05
OP14-084p1,2026-09-05,55.95
OP14-085,2026-09-05,0.11
OP14-086,2026-09-05,0.09
OP14-087,2026-09-05,0.18
OP14-088,2026-09-05,0.08
OP14-089,2026-09-05,0.08
OP14-090,2026-09-05,0.31
OP14-090p1,2026-09-05,4.78
OP14-091,2026-09-05,0.91
OP14-091p1,2026-09-05,12.74
OP14-092,2026-09-05,0.12
OP14-093,2026-09-05,0.10
OP14-094,2026-09-05,0.17
OP14-095,2026-09-05,0.06
OP14-096,2026-09-05,7.71
OP14-096p1,2026-09-05,128.56
OP14-097,2026-09-05,0.14
OP14-098,2026-09-05,0.08
OP14-099,2026-09-05,0.14
OP14-100,2026-09-05,0.23
OP14-101,2026-09-05,0.06
OP14-102,2026-09-05,0.14
OP14-103,2026-09-05,0.12
OP14-104,2026-09-05,5.81
OP14-104p1,2026-09-05,33.75
OP14-105,2026-09-05,0.26
OP14-106,2026-09-05,0.10
OP14-107,2026-09-05,0.16
OP14-108,2026-09-05,0.26
OP14-109,2026-09-05,0.08
OP14-110,2026-09-05,1.18
OP14-111,2026-09-05,0.44
OP14-111p1,2026-09-05,27.23
OP14-112,2026-09-05,6.30
OP14-112p1,2026-09-05,85.14
OP14-112p2,2026-09-05,531.82
OP14-113,2026-09-05,0.14
OP14-114,2026-09-05,0.25
OP14-115,2026-09-05,0.11
OP14-116,2026-09-05,0.04
OP14-117,2026-09-05,0.09
OP14-118,2026-09-05,0.40
OP14-118p1,2026-09-05,181.50
OP14-119,2026-09-05,3.41
OP14-119p1,2026-09-05,29.12
OP14-119p2,2026-09-05,722.85
OP14-120,2026-09-05,4.82
OP14-120p1,2026-09-05,32.59
