card_number,as_of,market_usd,source
ST22-001,2026-09-05,2.42,limitless
ST22-001p1,2026-09-05,20.74,limitless
ST22-002,2026-09-05,0.90,limitless
ST22-002p1,2026-09-05,5.47,limitless
ST22-003,2026-09-05,0.11,limitless
ST22-003p1,2026-09-05,3.10,limitless
ST22-004,2026-09-05,0.06,limitless
ST22-004p1,2026-09-05,0.39,limitless
ST22-005,2026-09-05,0.45,limitless
ST22-005p1,2026-09-05,3.59,limitless
ST22-006,2026-09-05,0.08,limitless
ST22-006p1,2026-09-05,1.14,limitless
ST22-007,2026-09-05,0.11,limitless
ST22-007p1,2026-09-05,0.87,limitless
ST22-008,2026-09-05,0.07,limitless
ST22-008p1,2026-09-05,0.46,limitless
ST22-009,2026-09-05,0.09,limitless
ST22-009p1,2026-09-05,1.00,limitless
ST22-010,2026-09-05,0.19,limitless
ST22-010p1,2026-09-05,6.62,limitless
ST22-011,2026-09-05,0.17,limitless
ST22-011p1,2026-09-05,1.27,limitless
ST22-012,2026-09-05,0.08,limitless
ST22-012p1,2026-09-05,2.03,limitless
ST22-013,2026-09-05,0.07,limitless
ST22-013p1,2026-09-05,0.65,limitless
ST22-014,2026-09-05,0.06,limitless
ST22-014p1,2026-09-05,0.43,limitless
ST22-015,2026-09-05,0.60,limitless
ST22-016,2026-09-05,0.16,limitless
ST22-017,2026-09-05,0.13,limitless
