card_number,as_of,market_usd,source
P-029,2026-09-05,1.20,limitless
P-057p1,2026-09-05,0.27,limitless
P-058p1,2026-09-05,0.25,limitless
P-059p1,2026-09-05,0.22,limitless
P-060p1,2026-09-05,0.24,limitless
P-061,2026-09-05,4.60,limitless
ST11-001p1,2026-09-05,0.49,limitless
ST11-003p2,2026-09-05,0.18,limitless
ST11-004p2,2026-09-05,0.35,limitless
ST11-005p2,2026-09-05,0.19,limitless
ST16-001,2026-09-05,0.56,limitless
ST16-002,2026-09-05,0.09,limitless
ST16-003,2026-09-05,0.11,limitless
ST16-004,2026-09-05,5.98,limitless
ST16-005,2026-09-05,0.28,limitless
