card_number,as_of,market_usd,source
OP03-099p2,2026-09-05,1.47,limitless
OP03-106,2026-09-05,0.06,limitless
OP03-107,2026-09-05,0.07,limitless
OP03-110,2026-09-05,0.20,limitless
OP03-112,2026-09-05,0.28,limitless
OP03-115,2026-09-05,0.09,limitless
OP03-118,2026-09-05,0.10,limitless
OP03-121,2026-09-05,0.05,limitless
ST07-005,2026-09-05,0.10,limitless
ST07-014,2026-09-05,0.05,limitless
ST20-001,2026-09-05,0.77,limitless
ST20-002,2026-09-05,0.14,limitless
ST20-003,2026-09-05,0.16,limitless
ST20-004,2026-09-05,0.18,limitless
ST20-005,2026-09-05,3.86,limitless
