card_number,as_of,market_usd,source
OP02-093p2,2026-09-05,1.64,limitless
OP02-098,2026-09-05,0.24,limitless
OP02-106,2026-09-05,0.20,limitless
OP02-108,2026-09-05,0.09,limitless
OP02-109,2026-09-05,0.06,limitless
OP02-113,2026-09-05,0.09,limitless
OP02-116,2026-09-05,0.06,limitless
OP02-117,2026-09-05,0.14,limitless
OP03-079,2026-09-05,0.09,limitless
OP03-089,2026-09-05,0.17,limitless
ST19-001,2026-09-05,0.21,limitless
ST19-002,2026-09-05,0.51,limitless
ST19-003,2026-09-05,0.86,limitless
ST19-004,2026-09-05,1.00,limitless
ST19-005,2026-09-05,0.19,limitless
