card_number,as_of,market_usd,source
ST13-001,2026-09-05,2.09,limitless
ST13-001p1,2026-09-05,18.81,limitless
ST13-002,2026-09-05,2.21,limitless
ST13-002p1,2026-09-05,22.08,limitless
ST13-003,2026-09-05,5.49,limitless
ST13-003p1,2026-09-05,48.68,limitless
ST13-004,2026-09-05,0.15,limitless
ST13-004p1,2026-09-05,2.15,limitless
ST13-005,2026-09-05,0.28,limitless
ST13-005p1,2026-09-05,1.32,limitless
ST13-006,2026-09-05,0.12,limitless
ST13-006p1,2026-09-05,0.46,limitless
ST13-007,2026-09-05,0.25,limitless
ST13-007p1,2026-09-05,4.82,limitless
ST13-008,2026-09-05,0.60,limitless
ST13-008p1,2026-09-05,6.46,limitless
ST13-009,2026-09-05,0.21,limitless
ST13-009p1,2026-09-05,6.14,limitless
ST13-010,2026-09-05,0.26,limitless
ST13-010p1,2026-09-05,13.21,limitless
ST13-011,2026-09-05,1.11,limitless
ST13-011p1,2026-09-05,9.12,limitless
ST13-012,2026-09-05,0.20,limitless
ST13-012p1,2026-09-05,2.08,limitless
ST13-013,2026-09-05,0.80,limitless
ST13-013p1,2026-09-05,8.80,limitless
ST13-014,2026-09-05,0.26,limitless
ST13-014p1,2026-09-05,13.97,limitless
ST13-015,2026-09-05,1.55,limitless
ST13-015p1,2026-09-05,26.59,limitless
ST13-016,2026-09-05,0.29,limitless
ST13-016p1,2026-09-05,13.11,limitless
ST13-017,2026-09-05,1.84,limitless
ST13-018,2026-09-05,0.21,limitless
ST13-019,2026-09-05,0.25,limitless
