card_number,as_of,market_usd,source
OP02-001p2,2026-09-05,1.31,limitless
OP02-008,2026-09-05,0.27,limitless
OP02-018,2026-09-05,0.31,limitless
OP02-019,2026-09-05,0.12,limitless
OP02-023,2026-09-05,0.06,limitless
OP03-003,2026-09-05,0.20,limitless
OP03-006,2026-09-05,0.06,limitless
OP03-007,2026-09-05,0.05,limitless
OP03-009,2026-09-05,0.06,limitless
OP03-010,2026-09-05,0.06,limitless
ST15-001,2026-09-05,0.07,limitless
ST15-002,2026-09-05,1.40,limitless
ST15-003,2026-09-05,0.12,limitless
ST15-004,2026-09-05,1.67,limitless
ST15-005,2026-09-05,2.15,limitless
