card_number,as_of,market_usd,source
EB01-015,2026-09-05,0.67,limitless
OP07-019p3,2026-09-05,1.19,limitless
OP07-021,2026-09-05,0.10,limitless
OP07-023,2026-09-05,0.07,limitless
OP07-025,2026-09-05,0.04,limitless
OP07-031,2026-09-05,0.08,limitless
OP07-033,2026-09-05,0.13,limitless
OP07-034,2026-09-05,0.13,limitless
OP07-036,2026-09-05,0.22,limitless
OP07-037,2026-09-05,0.10,limitless
ST24-001,2026-09-05,0.09,limitless
ST24-002,2026-09-05,1.27,limitless
ST24-003,2026-09-05,0.11,limitless
ST24-004,2026-09-05,6.82,limitless
ST24-005,2026-09-05,0.16,limitless
