card_number,as_of,market_usd,source
OP01-060p2,2026-09-05,1.76,limitless
OP01-073,2026-09-05,0.38,limitless
OP01-086,2026-09-05,0.15,limitless
OP02-054,2026-09-05,0.09,limitless
OP02-057,2026-09-05,0.08,limitless
P-030,2026-09-05,1.90,limitless
ST03-002,2026-09-05,0.04,limitless
ST03-004,2026-09-05,0.18,limitless
ST03-005,2026-09-05,0.13,limitless
ST03-008,2026-09-05,0.15,limitless
ST17-001,2026-09-05,0.13,limitless
ST17-002,2026-09-05,0.55,limitless
ST17-003,2026-09-05,0.44,limitless
ST17-004,2026-09-05,8.32,limitless
ST17-005,2026-09-05,0.30,limitless
