card_number,as_of,market_usd,source
OP01-016p3,2026-09-05,5.46,limitless
OP01-025p3,2026-09-05,1.34,limitless
ST10-001,2026-09-05,3.42,limitless
ST10-002,2026-09-05,11.20,limitless
ST10-003,2026-09-05,1.88,limitless
ST10-004,2026-09-05,0.29,limitless
ST10-005,2026-09-05,0.30,limitless
ST10-006,2026-09-05,2.70,limitless
ST10-007,2026-09-05,0.12,limitless
ST10-008,2026-09-05,0.16,limitless
ST10-009,2026-09-05,0.18,limitless
ST10-010,2026-09-05,3.90,limitless
ST10-011,2026-09-05,0.22,limitless
ST10-012,2026-09-05,0.23,limitless
ST10-013,2026-09-05,0.77,limitless
ST10-014,2026-09-05,0.18,limitless
ST10-015,2026-09-05,1.97,limitless
ST10-016,2026-09-05,0.22,limitless
ST10-017,2026-09-05,0.21,limitless
