card_number,as_of,market_usd
OP04-001,2026-09-05,0.21
OP04-001p1,2026-09-05,142.48
OP04-002,2026-09-05,0.21
OP04-003,2026-09-05,0.15
OP04-004,2026-09-05,0.09
OP04-005,2026-09-05,0.08
OP04-006,2026-09-05,0.05
OP04-007,2026-09-05,0.15
OP04-008,2026-09-05,0.10
OP04-009,2026-09-05,0.11
OP04-010,2026-09-05,0.18
OP04-011,2026-09-05,0.17
OP04-012,2026-09-05,0.06
OP04-013,2026-09-05,0.41
OP04-013p1,2026-09-05,3.05
OP04-014,2026-09-05,0.15
OP04-015,2026-09-05,0.28
OP04-016,2026-09-05,0.98
OP04-017,2026-09-05,0.13
OP04-018,2026-09-05,0.05
OP04-019,2026-09-05,0.21
OP04-019p1,2026-09-05,69.58
OP04-020,2026-09-05,0.15
OP04-020p1,2026-09-05,18.58
OP04-021,2026-09-05,0.07
OP04-022,2026-09-05,0.05
OP04-023,2026-09-05,0.04
OP04-024,2026-09-05,0.63
OP04-024p1,2026-09-05,6.64
OP04-025,2026-09-05,0.06
OP04-026,2026-09-05,0.16
OP04-027,2026-09-05,0.13
OP04-028,2026-09-05,0.13
OP04-028p1,2026-09-05,1.73
OP04-029,2026-09-05,0.08
OP04-030,2026-09-05,0.14
OP04-030p1,2026-09-05,4.38
OP04-031,2026-09-05,0.58
OP04-031p1,2026-09-05,6.30
OP04-032,2026-09-05,0.11
OP04-033,2026-09-05,0.06
OP04-034,2026-09-05,0.04
OP04-035,2026-09-05,0.30
OP04-036,2026-09-05,0.06
OP04-037,2026-09-05,0.07
OP04-038,2026-09-05,0.08
OP04-039,2026-09-05,0.15
OP04-039p1,2026-09-05,45.39
OP04-040,2026-09-05,0.15
OP04-040p1,2026-09-05,15.41
OP04-041,2026-09-05,0.06
OP04-042,2026-09-05,0.06
OP04-043,2026-09-05,0.12
OP04-044,2026-09-05,0.38
OP04-044p1,2026-09-05,6.69
OP04-045,2026-09-05,0.11
OP04-046,2026-09-05,0.04
OP04-047,2026-09-05,0.06
OP04-048,2026-09-05,0.06
OP04-049,2026-09-05,0.06
OP04-050,2026-09-05,0.10
OP04-051,2026-09-05,0.13
OP04-051p1,2026-09-05,2.40
OP04-052,2026-09-05,0.07
OP04-053,2026-09-05,0.07
OP04-054,2026-09-05,0.04
OP04-055,2026-09-05,0.06
OP04-056,2026-09-05,0.30
OP04-057,2026-09-05,0.07
OP04-058,2026-09-05,0.13
OP04-058p1,2026-09-05,47.89
OP04-059,2026-09-05,0.09
OP04-060,2026-09-05,0.41
OP04-060p1,2026-09-05,4.86
OP04-061,2026-09-05,0.07
OP04-062,2026-09-05,0.06
OP04-063,2026-09-05,0.19
OP04-064,2026-09-05,2.22
OP04-064p1,2026-09-05,39.23
OP04-065,2026-09-05,0.06
OP04-066,2026-09-05,0.15
OP04-067,2026-09-05,0.05
OP04-068,2026-09-05,0.06
OP04-069,2026-09-05,0.08
OP04-070,2026-09-05,0.06
OP04-071,2026-09-05,0.05
OP04-072,2026-09-05,0.12
OP04-072p1,2026-09-05,3.30
OP04-073,2026-09-05,0.04
OP04-074,2026-09-05,0.13
OP04-075,2026-09-05,0.08
OP04-076,2026-09-05,0.05
OP04-077,2026-09-05,0.06
OP04-078,2026-09-05,0.05
OP04-079,2026-09-05,0.06
OP04-080,2026-09-05,0.12
OP04-081,2026-09-05,0.12
OP04-082,2026-09-05,0.16
OP04-082p1,2026-09-05,2.01
OP04-083,2026-09-05,0.76
OP04-083p1,2026-09-05,17.89
OP04-083p2,2026-09-05,836.99
OP04-084,2026-09-05,0.07
OP04-085,2026-09-05,0.06
OP04-086,2026-09-05,0.06
OP04-087,2026-09-05,0.14
OP04-088,2026-09-05,0.09
OP04-089,2026-09-05,0.22
OP04-090,2026-09-05,1.46
OP04-090p1,2026-09-05,22.14
OP04-091,2026-09-05,0.07
OP04-092,2026-09-05,0.30
OP04-093,2026-09-05,0.11
OP04-094,2026-09-05,0.15
OP04-095,2026-09-05,0.09
OP04-096,2026-09-05,0.11
OP04-097,2026-09-05,0.05
OP04-098,2026-09-05,0.09
OP04-099,2026-09-05,0.16
OP04-100,2026-09-05,0.40
OP04-100p1,2026-09-05,3.34
OP04-101,2026-09-05,0.09
OP04-102,2026-09-05,0.12
OP04-103,2026-09-05,0.11
OP04-104,2026-09-05,0.47
OP04-104p1,2026-09-05,8.40
OP04-105,2026-09-05,0.13
OP04-106,2026-09-05,0.05
OP04-107,2026-09-05,0.04
OP04-108,2026-09-05,0.07
OP04-109,2026-09-05,0.10
OP04-110,2026-09-05,0.05
OP04-111,2026-09-05,0.05
OP04-112,2026-09-05,0.65
OP04-112p1,2026-09-05,19.31
OP04-113,2026-09-05,0.06
OP04-114,2026-09-05,0.05
OP04-115,2026-09-05,0.07
OP04-116,2026-09-05,0.08
OP04-117,2026-09-05,0.12
OP04-118,2026-09-05,7.19
OP04-118p1,2026-09-05,35.74
OP04-119,2026-09-05,2.12
OP04-119p1,2026-09-05,7.69
