card_number,as_of,market_usd
OP05-001,2026-09-05,0.18
OP05-001p1,2026-09-05,14.60
OP05-002,2026-09-05,0.21
OP05-002p1,2026-09-05,28.83
OP05-003,2026-09-05,0.23
OP05-004,2026-09-05,0.13
OP05-005,2026-09-05,0.61
OP05-006,2026-09-05,0.72
OP05-006p1,2026-09-05,5.43
OP05-007,2026-09-05,0.46
OP05-007p1,2026-09-05,3.51
OP05-008,2026-09-05,0.10
OP05-009,2026-09-05,0.06
OP05-010,2026-09-05,0.16
OP05-011,2026-09-05,0.13
OP05-012,2026-09-05,0.07
OP05-013,2026-09-05,0.06
OP05-014,2026-09-05,0.09
OP05-015,2026-09-05,0.64
OP05-015p1,2026-09-05,8.18
OP05-016,2026-09-05,0.22
OP05-017,2026-09-05,0.35
OP05-018,2026-09-05,0.05
OP05-019,2026-09-05,0.74
OP05-020,2026-09-05,0.08
OP05-021,2026-09-05,0.18
OP05-022,2026-09-05,0.18
OP05-022p1,2026-09-05,20.22
OP05-023,2026-09-05,0.13
OP05-024,2026-09-05,0.06
OP05-025,2026-09-05,0.07
OP05-026,2026-09-05,0.05
OP05-027,2026-09-05,0.15
OP05-028,2026-09-05,0.10
OP05-029,2026-09-05,0.12
OP05-030,2026-09-05,0.32
OP05-031,2026-09-05,0.07
OP05-032,2026-09-05,0.35
OP05-032p1,2026-09-05,1.99
OP05-033,2026-09-05,0.08
OP05-034,2026-09-05,0.20
OP05-034p1,2026-09-05,3.25
OP05-035,2026-09-05,0.07
OP05-036,2026-09-05,0.11
OP05-037,2026-09-05,0.26
OP05-038,2026-09-05,0.29
OP05-039,2026-09-05,0.07
OP05-040,2026-09-05,0.09
OP05-041,2026-09-05,0.19
OP05-041p1,2026-09-05,23.80
OP05-042,2026-09-05,0.12
OP05-043,2026-09-05,0.56
OP05-043p1,2026-09-05,3.53
OP05-044,2026-09-05,0.10
OP05-045,2026-09-05,0.05
OP05-046,2026-09-05,0.05
OP05-047,2026-09-05,0.07
OP05-048,2026-09-05,0.09
OP05-049,2026-09-05,0.09
OP05-050,2026-09-05,0.19
OP05-051,2026-09-05,0.46
OP05-051p1,2026-09-05,5.10
OP05-052,2026-09-05,0.07
OP05-053,2026-09-05,0.07
OP05-054,2026-09-05,0.13
OP05-055,2026-09-05,0.16
OP05-055p1,2026-09-05,1.48
OP05-056,2026-09-05,0.09
OP05-057,2026-09-05,0.22
OP05-058,2026-09-05,0.09
OP05-059,2026-09-05,0.08
OP05-060,2026-09-05,0.67
OP05-060p1,2026-09-05,115.11
OP05-061,2026-09-05,0.19
OP05-062,2026-09-05,0.17
OP05-063,2026-09-05,0.12
OP05-064,2026-09-05,0.12
OP05-065,2026-09-05,0.10
OP05-066,2026-09-05,0.10
OP05-067,2026-09-05,0.42
OP05-067p1,2026-09-05,37.25
OP05-068,2026-09-05,0.11
OP05-069,2026-09-05,0.77
OP05-069p1,2026-09-05,14.68
OP05-069p2,2026-09-05,1550.00
OP05-070,2026-09-05,0.13
OP05-071,2026-09-05,0.18
OP05-072,2026-09-05,0.07
OP05-073,2026-09-05,0.26
OP05-074,2026-09-05,0.46
OP05-074p1,2026-09-05,5.82
OP05-074p2,2026-09-05,883.73
OP05-075,2026-09-05,0.06
OP05-076,2026-09-05,0.33
OP05-077,2026-09-05,0.30
OP05-078,2026-09-05,0.10
OP05-079,2026-09-05,0.10
OP05-080,2026-09-05,0.08
OP05-081,2026-09-05,0.21
OP05-082,2026-09-05,0.75
OP05-083,2026-09-05,0.06
OP05-084,2026-09-05,0.11
OP05-085,2026-09-05,0.10
OP05-086,2026-09-05,0.27
OP05-087,2026-09-05,0.26
OP05-088,2026-09-05,0.35
OP05-088p1,2026-09-05,6.25
OP05-089,2026-09-05,0.10
OP05-090,2026-09-05,0.08
OP05-091,2026-09-05,1.56
OP05-091p1,2026-09-05,16.57
OP05-092,2026-09-05,0.12
OP05-093,2026-09-05,0.46
OP05-093p1,2026-09-05,4.95
OP05-094,2026-09-05,0.57
OP05-095,2026-09-05,0.10
OP05-096,2026-09-05,0.12
OP05-097,2026-09-05,0.13
OP05-098,2026-09-05,0.21
OP05-098p1,2026-09-05,35.68
OP05-099,2026-09-05,0.12
OP05-100,2026-09-05,0.53
OP05-100p1,2026-09-05,5.14
OP05-100p2,2026-09-05,136.01
OP05-101,2026-09-05,0.24
OP05-102,2026-09-05,0.28
OP05-102p1,2026-09-05,2.43
OP05-103,2026-09-05,0.07
OP05-104,2026-09-05,0.10
OP05-105,2026-09-05,0.17
OP05-106,2026-09-05,0.59
OP05-107,2026-09-05,0.07
OP05-108,2026-09-05,0.07
OP05-109,2026-09-05,0.08
OP05-110,2026-09-05,0.11
OP05-111,2026-09-05,0.08
OP05-112,2026-09-05,0.07
OP05-113,2026-09-05,0.06
OP05-114,2026-09-05,0.13
OP05-115,2026-09-05,0.16
OP05-116,2026-09-05,0.08
OP05-117,2026-09-05,0.11
OP05-118,2026-09-05,1.27
OP05-118p1,2026-09-05,13.47
OP05-119,2026-09-05,9.40
OP05-119p1,2026-09-05,201.18
OP05-119p2,2026-09-05,5700.00
