card_number,as_of,market_usd
EB03-001,2026-09-05,0.14
EB03-001p1,2026-09-05,7.80
EB03-002,2026-09-05,0.10
EB03-003,2026-09-05,0.50
EB03-003p1,2026-09-05,8.91
EB03-003p2,2026-09-05,347.49
EB03-004,2026-09-05,0.06
EB03-005,2026-09-05,0.12
EB03-006,2026-09-05,0.46
EB03-007,2026-09-05,0.11
EB03-008,2026-09-05,0.22
EB03-008p1,2026-09-05,7.26
EB03-009,2026-09-05,0.06
EB03-010,2026-09-05,0.16
EB03-011,2026-09-05,0.08
EB03-012,2026-09-05,0.09
EB03-013,2026-09-05,0.15
EB03-013p1,2026-09-05,5.40
EB03-014,2026-09-05,0.08
EB03-015,2026-09-05,0.09
EB03-016,2026-09-05,0.09
EB03-017,2026-09-05,0.29
EB03-018,2026-09-05,0.56
EB03-018p1,2026-09-05,6.77
EB03-018p2,2026-09-05,161.55
EB03-019,2026-09-05,0.08
EB03-020,2026-09-05,0.08
EB03-021,2026-09-05,0.09
EB03-022,2026-09-05,0.18
EB03-023,2026-09-05,0.13
EB03-024,2026-09-05,1.33
EB03-024p1,2026-09-05,22.19
EB03-024p2,2026-09-05,459.73
EB03-025,2026-09-05,0.12
EB03-025p1,2026-09-05,3.36
EB03-026,2026-09-05,0.87
EB03-026p1,2026-09-05,37.10
EB03-026p2,2026-09-05,1421.01
EB03-027,2026-09-05,0.13
EB03-028,2026-09-05,0.05
EB03-029,2026-09-05,0.09
EB03-030,2026-09-05,0.09
EB03-031,2026-09-05,0.64
EB03-031p1,2026-09-05,8.53
EB03-031p2,2026-09-05,232.67
EB03-032,2026-09-05,0.09
EB03-033,2026-09-05,0.10
EB03-034,2026-09-05,0.24
EB03-034p1,2026-09-05,8.28
EB03-035,2026-09-05,0.27
EB03-036,2026-09-05,0.10
EB03-037,2026-09-05,0.12
EB03-038,2026-09-05,0.08
EB03-039,2026-09-05,0.12
EB03-040,2026-09-05,0.13
EB03-041,2026-09-05,0.19
EB03-041p1,2026-09-05,5.64
EB03-042,2026-09-05,0.58
EB03-042p1,2026-09-05,4.36
EB03-042p2,2026-09-05,181.76
EB03-043,2026-09-05,0.15
EB03-044,2026-09-05,0.09
EB03-045,2026-09-05,0.62
EB03-045p1,2026-09-05,18.21
EB03-045p2,2026-09-05,364.04
EB03-046,2026-09-05,0.08
EB03-047,2026-09-05,0.09
EB03-048,2026-09-05,0.16
EB03-049,2026-09-05,0.13
EB03-050,2026-09-05,0.09
EB03-051,2026-09-05,0.07
EB03-052,2026-09-05,0.20
EB03-053,2026-09-05,12.52
EB03-053p1,2026-09-05,66.05
EB03-053p2,2026-09-05,1315.78
EB03-054,2026-09-05,0.16
EB03-055,2026-09-05,8.75
EB03-055p1,2026-09-05,46.14
EB03-055p2,2026-09-05,1464.93
EB03-056,2026-09-05,0.08
EB03-057,2026-09-05,0.32
EB03-057p1,2026-09-05,13.19
EB03-058,2026-09-05,0.14
EB03-059,2026-09-05,0.23
EB03-060,2026-09-05,0.11
EB03-061,2026-09-05,3.62
EB03-061p1,2026-09-05,13.30
EB03-061p2,2026-09-05,953.65
EB03-062,2026-09-05,7.19
EB03-062p1,2026-09-05,16.19
