card_number,as_of,market_usd,source
OP09-042p2,2026-09-05,1.41,limitless
OP09-043,2026-09-05,0.13,limitless
OP09-045,2026-09-05,0.10,limitless
OP09-051,2026-09-05,0.26,limitless
OP09-053,2026-09-05,0.07,limitless
OP09-054,2026-09-05,0.06,limitless
OP09-055,2026-09-05,0.06,limitless
OP09-056,2026-09-05,0.12,limitless
OP09-057,2026-09-05,0.15,limitless
P-084,2026-09-05,0.54,limitless
ST25-001,2026-09-05,0.68,limitless
ST25-002,2026-09-05,0.10,limitless
ST25-003,2026-09-05,1.26,limitless
ST25-004,2026-09-05,0.78,limitless
ST25-005,2026-09-05,0.10,limitless
