card_number,as_of,market_usd,source
OP09-001p2,2026-09-05,1.35,limitless
OP09-006,2026-09-05,0.07,limitless
OP09-010,2026-09-05,0.06,limitless
OP09-011,2026-09-05,0.10,limitless
OP09-012,2026-09-05,0.06,limitless
OP09-013,2026-09-05,0.16,limitless
OP09-014,2026-09-05,0.07,limitless
OP09-015,2026-09-05,0.14,limitless
OP09-016,2026-09-05,0.04,limitless
OP09-020,2026-09-05,0.16,limitless
ST23-001,2026-09-05,20.02,limitless
ST23-002,2026-09-05,1.15,limitless
ST23-003,2026-09-05,0.11,limitless
ST23-004,2026-09-05,0.12,limitless
ST23-005,2026-09-05,0.14,limitless
