card_number,as_of,market_usd
OP17-001,2026-09-05,0.15
OP17-001p1,2026-09-05,20.37
OP17-002,2026-09-05,0.05
OP17-003,2026-09-05,0.16
OP17-004,2026-09-05,0.10
OP17-005,2026-09-05,1.56
OP17-005p1,2026-09-05,21.96
OP17-005p2,2026-09-05,1091.79
OP17-006,2026-09-05,0.12
OP17-006p1,2026-09-05,2.45
OP17-007,2026-09-05,0.08
OP17-008,2026-09-05,0.12
OP17-009,2026-09-05,0.14
OP17-010,2026-09-05,0.05
OP17-011,2026-09-05,0.06
OP17-012,2026-09-05,0.07
OP17-013,2026-09-05,0.28
OP17-014,2026-09-05,0.09
OP17-015,2026-09-05,0.17
OP17-016,2026-09-05,0.14
OP17-017,2026-09-05,0.12
OP17-018,2026-09-05,0.16
OP17-019,2026-09-05,0.10
OP17-020,2026-09-05,0.11
OP17-020p1,2026-09-05,32.58
OP17-021,2026-09-05,0.13
OP17-022,2026-09-05,5.17
OP17-022p1,2026-09-05,42.01
OP17-022p2,2026-09-05,1484.46
OP17-023,2026-09-05,0.22
OP17-024,2026-09-05,0.08
OP17-025,2026-09-05,0.17
OP17-025p1,2026-09-05,1.53
OP17-026,2026-09-05,0.10
OP17-027,2026-09-05,0.15
OP17-027p1,2026-09-05,8.16
OP17-028,2026-09-05,0.09
OP17-029,2026-09-05,0.16
OP17-030,2026-09-05,0.14
OP17-031,2026-09-05,2.15
OP17-031p1,2026-09-05,19.72
OP17-032,2026-09-05,0.17
OP17-033,2026-09-05,0.17
OP17-034,2026-09-05,0.08
OP17-035,2026-09-05,0.05
OP17-036,2026-09-05,0.12
OP17-037,2026-09-05,0.17
OP17-037p1,2026-09-05,73.85
OP17-038,2026-09-05,0.08
OP17-039,2026-09-05,0.25
OP17-039p1,2026-09-05,54.37
OP17-040,2026-09-05,0.22
OP17-040p1,2026-09-05,54.88
OP17-041,2026-09-05,0.20
OP17-042,2026-09-05,0.26
OP17-043,2026-09-05,0.13
OP17-044,2026-09-05,0.23
OP17-045,2026-09-05,0.16
OP17-045p1,2026-09-05,4.53
OP17-046,2026-09-05,2.57
OP17-046p1,2026-09-05,25.94
OP17-047,2026-09-05,0.05
OP17-048,2026-09-05,0.81
OP17-048p1,2026-09-05,13.11
OP17-049,2026-09-05,0.45
OP17-049p1,2026-09-05,21.05
OP17-050,2026-09-05,0.14
OP17-051,2026-09-05,0.06
OP17-052,2026-09-05,0.14
OP17-053,2026-09-05,0.11
OP17-054,2026-09-05,0.28
OP17-054p1,2026-09-05,23.82
OP17-055,2026-09-05,0.32
OP17-056,2026-09-05,0.33
OP17-057,2026-09-05,0.18
OP17-058,2026-09-05,0.13
OP17-058p1,2026-09-05,36.31
OP17-059,2026-09-05,0.10
OP17-060,2026-09-05,0.17
OP17-061,2026-09-05,0.29
OP17-061p1,2026-09-05,11.61
OP17-062,2026-09-05,1.04
OP17-062p1,2026-09-05,22.28
OP17-062p2,2026-09-05,1234.04
OP17-062p3,2026-09-05,271.35
OP17-063,2026-09-05,0.62
OP17-063p1,2026-09-05,12.55
OP17-064,2026-09-05,0.12
OP17-065,2026-09-05,0.20
OP17-066,2026-09-05,0.05
OP17-067,2026-09-05,0.08
OP17-068,2026-09-05,0.11
OP17-069,2026-09-05,0.21
OP17-070,2026-09-05,0.08
OP17-070p1,2026-09-05,1.12
OP17-071,2026-09-05,0.07
OP17-072,2026-09-05,0.11
OP17-073,2026-09-05,0.17
OP17-074,2026-09-05,2.24
OP17-075,2026-09-05,0.07
OP17-076,2026-09-05,0.20
OP17-077,2026-09-05,0.20
OP17-078,2026-09-05,0.07
OP17-079,2026-09-05,0.18
OP17-079p1,2026-09-05,64.33
OP17-079p2,2026-09-05,1966.52
OP17-080,2026-09-05,2.61
OP17-080p1,2026-09-05,17.54
OP17-081,2026-09-05,0.44
OP17-082,2026-09-05,0.16
OP17-083,2026-09-05,0.15
OP17-084,2026-09-05,0.29
OP17-085,2026-09-05,0.14
OP17-086,2026-09-05,0.28
OP17-087,2026-09-05,0.32
OP17-087p1,2026-09-05,46.80
OP17-088,2026-09-05,0.09
OP17-088p1,2026-09-05,1.24
OP17-089,2026-09-05,0.45
OP17-090,2026-09-05,0.09
OP17-091,2026-09-05,0.13
OP17-092,2026-09-05,0.12
OP17-093,2026-09-05,5.01
OP17-093p1,2026-09-05,41.62
OP17-094,2026-09-05,0.19
OP17-095,2026-09-05,0.17
OP17-096,2026-09-05,0.25
OP17-097,2026-09-05,0.10
OP17-098,2026-09-05,0.12
OP17-099,2026-09-05,0.12
OP17-099p1,2026-09-05,19.96
OP17-100,2026-09-05,0.07
OP17-101,2026-09-05,0.07
OP17-102,2026-09-05,0.42
OP17-103,2026-09-05,0.22
OP17-104,2026-09-05,0.20
OP17-105,2026-09-05,0.09
OP17-106,2026-09-05,0.20
OP17-107,2026-09-05,0.46
OP17-107p1,2026-09-05,4.24
OP17-108,2026-09-05,0.17
OP17-109,2026-09-05,2.25
OP17-110,2026-09-05,0.16
OP17-111,2026-09-05,0.14
OP17-112,2026-09-05,5.56
OP17-112p1,2026-09-05,26.18
OP17-112p2,2026-09-05,862.98
OP17-113,2026-09-05,0.28
OP17-114,2026-09-05,0.36
OP17-114p1,2026-09-05,18.45
OP17-115,2026-09-05,0.17
OP17-116,2026-09-05,0.21
OP17-117,2026-09-05,0.14
OP17-118,2026-09-05,22.65
OP17-118p1,2026-09-05,46.75
OP17-119,2026-09-05,34.86
OP17-119p1,2026-09-05,67.84
