card_number,as_of,market_usd,source
OP05-060p3,2026-09-05,2.64,limitless
OP05-061,2026-09-05,0.19,limitless
OP05-063,2026-09-05,0.12,limitless
OP05-066,2026-09-05,0.10,limitless
OP05-067,2026-09-05,0.43,limitless
OP05-068,2026-09-05,0.11,limitless
OP05-070,2026-09-05,0.14,limitless
OP05-072,2026-09-05,0.07,limitless
OP05-076,2026-09-05,0.31,limitless
P-041,2026-09-05,5.84,limitless
ST18-001,2026-09-05,4.78,limitless
ST18-002,2026-09-05,0.25,limitless
ST18-003,2026-09-05,0.20,limitless
ST18-004,2026-09-05,1.85,limitless
ST18-005,2026-09-05,3.60,limitless
