card_number,as_of,market_usd,source
OP02-028,2026-09-05,0.12,limitless
OP02-033,2026-09-05,0.14,limitless
OP02-034,2026-09-05,0.29,limitless
OP02-035,2026-09-05,0.14,limitless
OP02-037,2026-09-05,0.22,limitless
OP02-039,2026-09-05,0.11,limitless
OP02-040,2026-09-05,0.21,limitless
OP02-041,2026-09-05,0.39,limitless
OP02-043,2026-09-05,0.14,limitless
OP02-045,2026-09-05,0.06,limitless
ST11-001,2026-09-05,4.50,limitless
ST11-002,2026-09-05,1.30,limitless
ST11-003,2026-09-05,0.16,limitless
ST11-004,2026-09-05,0.39,limitless
ST11-005,2026-09-05,0.15,limitless
