card_number,as_of,market_usd,source
ST12-001,2026-09-05,12.15,limitless
ST12-002,2026-09-05,0.11,limitless
ST12-003,2026-09-05,6.48,limitless
ST12-004,2026-09-05,0.08,limitless
ST12-005,2026-09-05,0.17,limitless
ST12-006,2026-09-05,0.12,limitless
ST12-007,2026-09-05,0.43,limitless
ST12-008,2026-09-05,0.91,limitless
ST12-009,2026-09-05,0.07,limitless
ST12-010,2026-09-05,5.36,limitless
ST12-011,2026-09-05,0.29,limitless
ST12-012,2026-09-05,0.25,limitless
ST12-013,2026-09-05,0.13,limitless
ST12-014,2026-09-05,0.19,limitless
ST12-015,2026-09-05,0.09,limitless
ST12-016,2026-09-05,0.26,limitless
ST12-017,2026-09-05,0.16,limitless
