card_number,as_of,market_usd
OP16-001,2026-09-04,0.17
OP16-001,2026-09-05,0.18
OP16-001p1,2026-09-04,49.81
OP16-001p1,2026-09-05,49.42
OP16-002,2026-09-04,0.11
OP16-002,2026-09-05,0.12
OP16-003,2026-09-04,1.94
OP16-003,2026-09-05,1.80
OP16-003p1,2026-09-04,28.23
OP16-003p1,2026-09-05,28.26
OP16-004,2026-09-04,0.09
OP16-004,2026-09-05,0.12
OP16-005,2026-09-04,0.11
OP16-005,2026-09-05,0.14
OP16-006,2026-09-04,0.04
OP16-006,2026-09-05,0.05
OP16-007,2026-09-04,0.06
OP16-007,2026-09-05,0.07
OP16-008,2026-09-04,0.05
OP16-008,2026-09-05,0.05
OP16-009,2026-09-04,0.08
OP16-009,2026-09-05,0.09
OP16-010,2026-09-04,0.17
OP16-010,2026-09-05,0.19
OP16-011,2026-09-04,0.21
OP16-011,2026-09-05,0.23
OP16-011p1,2026-09-04,22.67
OP16-011p1,2026-09-05,22.58
OP16-012,2026-09-04,0.12
OP16-012,2026-09-05,0.12
OP16-013,2026-09-04,0.05
OP16-013,2026-09-05,0.06
OP16-014,2026-09-04,0.20
OP16-014,2026-09-05,0.21
OP16-014p1,2026-09-04,10.78
OP16-014p1,2026-09-05,11.02
OP16-015,2026-09-04,2.23
OP16-015,2026-09-05,2.50
OP16-015p1,2026-09-04,33.11
OP16-015p1,2026-09-05,33.10
OP16-016,2026-09-04,0.06
OP16-016,2026-09-05,0.06
OP16-017,2026-09-04,0.14
OP16-017,2026-09-05,0.16
OP16-018,2026-09-04,0.06
OP16-018,2026-09-05,0.06
OP16-019,2026-09-04,0.07
OP16-019,2026-09-05,0.06
OP16-020,2026-09-04,0.16
OP16-020,2026-09-05,0.17
OP16-021,2026-09-04,0.44
OP16-021,2026-09-05,0.48
OP16-021p1,2026-09-04,18.22
OP16-021p1,2026-09-05,18.04
OP16-022,2026-09-04,0.17
OP16-022,2026-09-05,0.17
OP16-022p1,2026-09-04,40.13
OP16-022p1,2026-09-05,39.76
OP16-023,2026-09-04,0.04
OP16-023,2026-09-05,0.05
OP16-024,2026-09-04,0.05
OP16-024,2026-09-05,0.06
OP16-025,2026-09-04,0.08
OP16-025,2026-09-05,0.08
OP16-026,2026-09-04,0.42
OP16-026,2026-09-05,0.34
OP16-026p1,2026-09-04,3.22
OP16-026p1,2026-09-05,3.22
OP16-027,2026-09-04,0.13
OP16-027,2026-09-05,0.17
OP16-028,2026-09-04,0.07
OP16-028,2026-09-05,0.07
OP16-029,2026-09-04,0.05
OP16-029,2026-09-05,0.06
OP16-030,2026-09-04,0.14
